latitude,longitude
34.31291,-118.44792
34.29081,-118.50499
34.28867,-118.43624
34.28038,-118.55756
34.27658,-118.37594
34.26724,-118.45746
34.26453,-118.41441
34.25509,-118.59682
34.25337,-118.36126
34.24135,-118.43176
34.23782,-118.52989
34.2387,-118.47835
34.2243,-118.4447
34.20036,-118.46222
34.21459,-118.55112
34.2656446,-118.3236267
34.2749357,-118.3434996
34.2573786,-118.3554785
34.2820993,-118.3925764
34.276148,-118.4046859
34.2731497,-118.3985699
34.2900933,-118.374193
34.2865005,-118.4160998
34.2790579,-118.4115542
34.2912875,-118.3931176
34.2763731,-118.4292815
34.2716582,-118.4180839
34.2742393,-118.4218751
34.2670388,-118.4327217
34.2587946,-118.4344932
34.2639207,-118.4286916
34.2555108,-118.4257479
34.2604355,-118.4189927
34.2579043,-118.4224647
34.2684745,-118.415214
34.255225,-118.4005884
34.2625305,-118.4088621
34.2465705,-118.4162955
34.2458703,-118.4209447
34.2489652,-118.4130092
34.2514971,-118.4095367
34.3253415,-118.4434033
34.3232264,-118.4294854
34.319137,-118.4095511
34.3055419,-118.4123941
34.3061546,-118.422207
34.3023558,-118.4268073
34.3060186,-118.4412741
34.3146862,-118.4482857
34.3221382,-118.4598094
34.3105741,-118.4365572
34.3132628,-118.4400764
34.3264211,-118.4796437
34.3088574,-118.4613523
34.3121073,-118.5243083
34.3033292,-118.4745764
34.2984691,-118.5084331
34.2863224,-118.5070136
34.2894657,-118.5220352
34.2905628,-118.4941725
34.2797379,-118.4939447
34.2930983,-118.4558345
34.2892496,-118.460655
34.3020803,-118.4467204
34.2975549,-118.4504817
34.2793058,-118.5416524
34.2804584,-118.5550665
34.286426,-118.5399996
34.2943135,-118.5460083
34.2840658,-118.5812419
34.2930831,-118.5616551
34.2809054,-118.566704
34.2771624,-118.46316
34.2774288,-118.4744906
34.2711982,-118.4804333
34.2687153,-118.4557009
34.2703268,-118.4389358
34.2593157,-118.4495333
34.2536518,-118.4654157
34.2615445,-118.4653518
34.2619342,-118.4808881
34.2537115,-118.4815974
34.2683099,-118.4950694
34.2748338,-118.5101489
34.2684432,-118.5148271
34.262647,-118.5471995
34.2539438,-118.5351373
34.2690645,-118.5343557
34.2539511,-118.5128425
34.2612078,-118.5128459
34.2608467,-118.5262266
34.2539293,-118.4966913
34.2611726,-118.4957411
34.2654115,-118.5852975
34.2658924,-118.5667261
34.2675047,-118.6227776
34.2606831,-118.6024264
34.2515,-118.607847
34.2257746,-118.5939793
34.2451986,-118.6126947
34.2319904,-118.6004946
34.2440457,-118.5583038
34.2436235,-118.5775956
34.2536782,-118.5721365
34.2529415,-118.5934782
34.253613,-118.5863726
34.2242425,-118.5666812
34.2284455,-118.5610661
34.2324832,-118.5919499
34.2358383,-118.5796232
34.2259883,-118.5894957
34.224146,-118.5787221
34.2394391,-118.5112304
34.2438279,-118.5274502
34.237491,-118.522646
34.2332349,-118.5376549
34.2461946,-118.5323978
34.2441108,-118.5382749
34.2422846,-118.548089
34.2259651,-118.5503049
34.2248079,-118.5151269
34.2247342,-118.5317299
34.2255624,-118.5416703
34.2391372,-118.4621301
34.2481946,-118.4598237
34.2426809,-118.4700957
34.2429089,-118.478874
34.2421587,-118.4896512
34.238143,-118.4987424
34.2281097,-118.4912814
34.2284788,-118.479077
34.2337311,-118.4702311
34.2301059,-118.4703116
34.2248464,-118.4703709
34.233678,-118.4621483
34.2300853,-118.4621861
34.2264373,-118.4643776
34.2351095,-118.4203143
34.2501205,-118.4331362
34.2417684,-118.4228648
34.2462338,-118.440639
34.2588359,-118.440754
34.2450202,-118.4516702
34.2369427,-118.4547256
34.233609,-118.4519009
34.2371666,-118.4458756
34.2407686,-118.4472672
34.2378874,-118.4353682
34.2207731,-118.4257669
34.2352193,-118.4310495
34.2329132,-118.4291943
34.2278369,-118.4412802
34.2191995,-118.4622655
34.2188235,-118.4548516
34.2151078,-118.4518684
34.22972,-118.4517987
34.223963,-118.4493666
34.2340798,-118.4488025
34.2226265,-118.4563815
34.225681,-118.4563753
34.2300529,-118.4563783
34.2152914,-118.4408399
34.2188821,-118.4323396
34.223913,-118.403944
34.2121224,-118.402062
34.2375131,-118.3842789
34.241882,-118.4049441
34.2276175,-118.3955625
34.2321519,-118.3919487
34.2110681,-118.4105906
34.2192141,-118.3913636
34.2178665,-118.3832004
34.2147689,-118.4183782
34.2060072,-118.4445251
34.2043745,-118.4301703
34.2051759,-118.4357985
34.2066365,-118.4596472
34.2047822,-118.4531264
34.2083989,-118.4697657
34.2102531,-118.4782103
34.2184163,-118.4697511
34.1957241,-118.4800237
34.1993163,-118.4797991
34.1974182,-118.4700952
34.1975153,-118.4530799
34.1974925,-118.4618228
34.2199093,-118.5393555
34.2111048,-118.538247
34.2034007,-118.5401318
34.2146244,-118.5056231
34.2147262,-118.514231
34.2146599,-118.5229633
34.2145917,-118.5316957
34.214718,-118.551356
34.2035942,-118.5476933
34.204713,-118.5316786
34.2047052,-118.5229569
34.2047193,-118.5098593
34.1948951,-118.507196
34.2020968,-118.4973692
34.1992573,-118.5273425
34.2143034,-118.5666432
34.2185595,-118.5814401
34.2992784,-118.4326573
34.292404,-118.4244249
34.286034,-118.4396366
34.2897466,-118.4345091
34.2821476,-118.4458612
34.4409913,-118.4105624
34.408525,-118.4091281
34.4297662,-118.5230964
34.4638784,-118.5208803
34.4473253,-118.5296449
34.4558936,-118.5295464
34.4395918,-118.48665
34.4303366,-118.486524
34.4151458,-118.4899601
34.4040807,-118.4945381
34.4388053,-118.4511824
34.4193105,-118.4640472
34.4236171,-118.4469244
34.4232114,-118.4402442
34.4356652,-118.4274136
34.4180533,-118.4333418
34.396988,-118.4713568
34.3909961,-118.4411237
34.4435485,-118.5164043
34.4533926,-118.5168986
34.415428,-118.4492578
34.4116202,-118.4516966
34.4226571,-118.4848089
34.4525214,-118.5535741
34.4462512,-118.5457329
34.4524557,-118.5384383
34.4354255,-118.5391687
34.431492,-118.5621604
34.4257895,-118.5500603
34.4468472,-118.5765302
34.3160081,-118.6106718
34.3630171,-118.5258986
34.3715782,-118.5511232
34.4029836,-118.5246277
34.3826426,-118.5490972
34.3510453,-118.5978803
34.4146918,-118.5679312
34.4105552,-118.5503607
34.4044037,-118.5606309
34.3971336,-118.5454055
34.3830973,-118.513062
34.3873773,-118.5672498
34.3860639,-118.5964152
34.4151337,-118.612578
34.3867094,-118.5394175
34.382219,-118.5315185
34.376269,-118.5185808
34.3709658,-118.5071739
34.2106316,-118.4906758
34.270047,-118.3813338
34.3040449,-118.4807217
