latitude,longitude
34.05059,-118.50246
34.04694,-118.52116
34.03951,-118.55928
34.06205,-118.505
34.05845,-118.52354
34.05478,-118.54247
34.05113,-118.56122
34.04005,-118.61818
34.07346,-118.50778
34.07002,-118.52559
34.06641,-118.54426
34.06282,-118.5628
34.0591,-118.58205
34.05563,-118.59992
34.05195,-118.61889
34.04795,-118.63954
34.08146,-118.5283
34.07797,-118.54638
34.07411,-118.56645
34.07053,-118.58504
34.06719,-118.60233
34.0635,-118.62144
34.05964,-118.64144
34.05596,-118.66043
34.09451,-118.54001
34.09299,-118.52953
34.08728,-118.55236
34.08575,-118.54181
34.08422,-118.53132
34.0827,-118.52084
34.08116,-118.51029
34.07853,-118.55425
34.07698,-118.54365
34.07545,-118.5331
34.07393,-118.52262
34.0724,-118.51214
34.07086,-118.5016
34.08197,-118.64037
34.08044,-118.62979
34.07892,-118.61929
34.07437,-118.58786
34.07283,-118.57723
34.0713,-118.56673
34.06977,-118.55614
34.06823,-118.54553
34.06516,-118.52448
34.06363,-118.51396
34.0621,-118.50344
34.07321,-118.6423
34.07168,-118.63171
34.07015,-118.6211
34.06863,-118.61058
34.0671,-118.60007
34.06559,-118.58965
34.05947,-118.54744
34.05794,-118.53691
34.0564,-118.52637
34.05487,-118.51583
34.05334,-118.50529
34.06445,-118.64424
34.06293,-118.63372
34.06139,-118.62307
34.05986,-118.61245
34.05223,-118.55985
34.0507,-118.54933
34.04918,-118.53879
34.04764,-118.52824
34.04611,-118.51768
34.04457,-118.50714
34.05677,-118.66365
34.05525,-118.65313
34.05372,-118.64259
34.05218,-118.632
34.05062,-118.62136
34.04299,-118.56878
34.04145,-118.55822
34.03991,-118.54768
34.03837,-118.53711
34.03528,-118.516
34.0465,-118.65509
34.04497,-118.64451
34.04189,-118.62333
34.04036,-118.6128
34.09568,-118.53645
34.08794,-118.56258
34.08318,-118.54027
34.07775,-118.51488
34.0966,-118.54365
34.0808,-118.59558
34.08851,-118.56877
34.07066,-118.67396
34.0712,-118.54934
34.07887,-118.52213
34.08402,-118.54709
34.07592,-118.57204
34.0658,-118.65069
34.03766,-118.53203
34.04768,-118.53439
34.05522,-118.55055
34.07277,-118.51087
34.07037,-118.52428
34.06531,-118.55254
34.06285,-118.56623
34.07157,-118.51685
34.06909,-118.53029
34.06647,-118.54446
34.06384,-118.55868
34.08156,-118.51929
34.07914,-118.53244
34.07657,-118.54642
34.0738,-118.56143
34.07127,-118.57515
34.06866,-118.58927
34.06626,-118.60233
34.06364,-118.61648
34.09159,-118.52154
34.08907,-118.53529
34.08661,-118.5487
34.08382,-118.56384
34.08125,-118.57783
34.07864,-118.59201
34.07619,-118.60531
34.07381,-118.61828
34.0991,-118.53751
34.09663,-118.55101
34.0939,-118.56594
34.09129,-118.58017
34.0813,-118.63466
34.07871,-118.64873
34.04022,-118.51786
