latitude,longitude
41.29759,-82.19537
40.35801,-75.72305
40.13776,-74.80757
41.62806,-87.37648
41.62757,-87.36913
40.07053,-74.76994
41.64506,-88.05405
41.22356,-83.20726
40.17467,-75.89651
41.01406,-82.03363
40.55415,-80.43657
39.96217,-76.59628
39.94004,-76.81655
40.44647,-80.60873
40.71957,-84.12518
40.41257,-82.94162
40.59668,-85.73899
39.39037,-76.39371
40.02724,-81.32915
39.83371,-80.52969
39.73258,-82.14648
39.36759,-81.52686
39.98256,-92.06721
39.9812,-92.06602
38.77721,-79.39415
38.33007,-77.82883
39.1733,-86.03128
37.86185,-76.60394
37.8611,-76.5995
39.46281,-94.41807
37.84876,-76.54728
39.45589,-94.41838
38.9291,-85.16714
38.99634,-87.72569
38.99094,-87.71927
38.41734,-82.38531
38.51247,-83.6587
37.56782,-77.93974
38.82232,-90.01404
37.20336,-78.22565
38.05964,-84.71407
37.0641,-77.17948
37.96464,-81.33127
42.95324,-71.55022
43.00364,-76.60049
42.05143,-73.9781
42.76446,-82.7496
42.27688,-83.12724
41.75035,-81.28391
41.28333,-78.63998
40.97705,-76.81554
40.5358,-74.25681
40.66733,-75.22852
40.62268,-75.30304
41.73263,-83.51955
41.41602,-80.97757
41.67751,-83.45751
41.67706,-83.45284
40.89079,-77.71179
40.24605,-74.11757
41.4664,-83.3681
41.29787,-82.1946
41.56976,-84.05281
41.63193,-87.14149
40.30955,-80.60887
41.48371,-90.82856
41.13216,-80.69099
41.74775,-71.10485
39.87697,-86.48528
41.36874,-84.91397
39.97807,-86.83056
38.75486,-84.99518
41.64038,-87.41242
41.67678,-87.41596
38.84852,-76.78366
41.6358,-87.12658
42.49564,-73.81544
41.64455,-87.14012
40.31586,-80.60224
38.69552,-90.13602
41.45032,-81.67899
41.6202,-87.33281
41.66965,-87.46184
42.14374,-89.08188
41.454,-81.67827
41.41561,-88.18591
40.48035,-74.3261
40.75542,-81.44095
41.6368,-87.14093
40.79576,-79.69955
39.48452,-84.36311
38.60113,-82.82481
41.63434,-87.13392
40.30417,-79.87463
40.39299,-79.85722
38.59738,-82.82552
41.63203,-83.50542
39.43565,-77.97724
39.97385,-86.83762
42.2996,-83.15262
40.47945,-74.32124
41.61528,-87.33334
39.48347,-84.38504
40.6426,-89.64383
38.76377,-84.99933
41.12024,-85.34895
