latitude,longitude
36.39813,-118.78925
36.39875,-118.79367
36.39577,-118.7475
36.39646,-118.75239
36.39841,-118.76639
36.40212,-118.79295
36.39442,-118.73784
36.39509,-118.74263
36.4015,-118.78854
36.39917,-118.74699
36.39985,-118.75188
36.40052,-118.75665
36.40118,-118.76134
36.40182,-118.76595
36.40306,-118.77487
36.39849,-118.74221
36.40245,-118.7705
36.4019,-118.74176
36.40255,-118.74646
36.40324,-118.7513
36.40392,-118.75614
36.40458,-118.76086
36.40522,-118.76547
36.40586,-118.77001
36.40594,-118.7459
36.38158,-118.74508
36.39021,-118.78218
36.38096,-118.74062
36.37826,-118.7461
36.37764,-118.74169
36.3789,-118.75075
36.3756,-118.75191
36.37496,-118.74733
36.36897,-118.7541
36.37086,-118.76781
36.36959,-118.75864
36.36563,-118.75505
36.36625,-118.75956
36.38894,-118.74815
36.38961,-118.75304
36.39417,-118.78568
36.38827,-118.74335
36.39478,-118.79009
36.39036,-118.73357
36.39235,-118.74785
36.39304,-118.75273
36.39689,-118.78036
36.391,-118.73818
36.39167,-118.74297
36.39751,-118.78481
36.40312,-118.75558
36.40459,-118.76898
36.40582,-118.76044
36.39815,-118.79005
36.39939,-118.7814
36.40251,-118.75983
36.40372,-118.75142
36.4016,-118.74244
36.39828,-118.74185
36.39496,-118.74129
36.39557,-118.73709
36.39164,-118.74079
36.39225,-118.73654
36.38772,-118.74445
36.38832,-118.74024
36.38893,-118.73599
36.3779,-118.74198
36.36567,-118.7562
33.99974,-91.61832
34.00041,-91.62244
33.95031,-91.41444
33.94971,-91.41886
33.95311,-91.41952
33.98786,-91.5522
33.99124,-91.55286
33.99065,-91.55723
33.99648,-91.61674
33.99589,-91.6211
33.99926,-91.62176
30.9677,-86.78699
30.97177,-86.78755
30.97135,-86.79168
30.97498,-86.79642
30.97948,-86.79281
30.97905,-86.79699
30.98443,-86.78506
30.98399,-86.78923
30.98312,-86.79757
30.9885,-86.78563
33.08046,-82.77197
33.08662,-82.77453
33.08491,-82.7806
33.02969,-82.71902
33.02943,-82.72293
33.03502,-82.71941
33.03476,-82.72333
33.07909,-82.77869
33.08467,-82.77517
33.0844,-82.77908
46.22409,-114.72491
46.22341,-114.7202
46.22011,-114.72117
46.21941,-114.71638
46.21561,-114.7375
46.21305,-114.74357
46.21234,-114.73867
46.21164,-114.73389
46.21025,-114.72433
46.20977,-114.74477
46.20907,-114.73988
46.22203,-114.83049
46.2213,-114.82529
46.22057,-114.82015
46.2163,-114.79041
46.20837,-114.73505
46.20767,-114.73026
46.20696,-114.7254
46.20625,-114.72044
46.21802,-114.82645
46.20509,-114.73624
46.20438,-114.73138
46.22089,-114.84657
46.21729,-114.82134
46.2065,-114.74599
46.2058,-114.74109
46.2183,-114.85249
46.19585,-114.85691
46.19473,-114.873
46.19104,-114.84737
46.19029,-114.84222
46.194,-114.86797
46.19328,-114.86294
46.19254,-114.85781
46.19179,-114.85259
46.17274,-114.72084
46.1907,-114.86897
46.18997,-114.86388
46.18922,-114.85867
46.18666,-114.86479
46.18813,-114.87505
46.1874,-114.86996
46.18556,-114.88109
46.18482,-114.87599
46.18408,-114.87084
46.18225,-114.88203
46.18151,-114.87688
46.18076,-114.87172
46.17894,-114.883
46.1782,-114.8778
46.18953,-114.85501
46.18678,-114.86348
46.18222,-114.87743
46.20362,-114.74546
46.22016,-114.71498
46.21116,-114.74308
46.20441,-114.74651
46.22109,-114.71618
46.21215,-114.74363
46.17763,-114.87049
46.18443,-114.87067
41.61175,-87.33108
41.61424,-87.32523
41.61509,-87.33002
41.61928,-87.33377
41.6252,-87.36732
41.61843,-87.32897
41.63022,-87.37585
41.62854,-87.36626
41.63945,-87.4083
41.64278,-87.40724
41.66359,-87.47883
41.6686,-87.48731
41.66427,-87.42325
41.67104,-87.4614
41.67353,-87.4556
41.67347,-87.43546
41.6253,-87.14614
41.6768,-87.43443
41.62865,-87.14507
41.6776,-87.41908
41.68093,-87.41802
41.68262,-87.42756
41.68177,-87.4228
41.63362,-87.13327
41.63536,-87.14294
41.6851,-87.42175
41.63697,-87.13219
41.63784,-87.13703
41.63871,-87.14186
41.64206,-87.14079
41.63398,-87.13249
41.63987,-87.13588
41.63858,-87.12875
41.63655,-87.13511
41.64243,-87.13854
41.67064,-87.45546
41.61637,-87.33135
41.63579,-87.13282
41.63533,-87.13892
41.62131,-87.32594
41.64033,-87.13336
41.63988,-87.13946
41.66932,-87.46387
41.68155,-87.42384
32.89508,-91.43262
32.88949,-91.43052
32.88891,-91.43481
32.91707,-91.3033
32.92045,-91.30394
32.94028,-91.28552
32.94086,-91.2812
32.94542,-91.27319
32.94424,-91.28185
32.94366,-91.28617
32.94763,-91.28249
32.94704,-91.28681
32.9488,-91.27383
32.95219,-91.27447
32.9516,-91.2788
36.73693,-89.92507
36.74495,-89.92088
36.74125,-89.92024
36.74063,-89.92571
36.74186,-89.91476
36.73815,-89.9141
36.73384,-89.91894
36.74271,-89.92369
36.74334,-89.91821
36.73901,-89.92305
36.74028,-89.91209
36.73531,-89.9224
36.73594,-89.91692
36.73225,-89.91628
45.03519,-106.31711
44.99941,-106.13609
44.99944,-106.14416
44.9997,-106.24738
44.99974,-106.26411
44.99989,-106.35838
44.9999,-106.36681
44.99972,-106.25545
44.99976,-106.27305
45.00618,-106.14397
45.00624,-106.16059
45.00632,-106.1858
45.00634,-106.19444
45.00671,-106.36703
45.00672,-106.37559
45.00675,-106.40253
45.00626,-106.16889
45.00655,-106.27331
45.00656,-106.28179
45.00658,-106.29023
44.9946,-106.24782
44.99458,-106.25603
45.00161,-106.13665
45.00157,-106.16158
45.00156,-106.16985
45.00153,-106.18674
45.0016,-106.14477
45.00134,-106.26492
45.00131,-106.27386
45.00835,-106.14444
45.00833,-106.16112
45.00829,-106.18639
45.00827,-106.19505
45.00832,-106.16945
45.0081,-106.27409
45.00808,-106.28252
45.00805,-106.29104
45.01487,-106.28275
