latitude,longitude
35.5027,-79.4101
37.9604,-81.3339
41.5715,-84.0493
42.2892,-83.1618
41.6368,-87.1477
40.3933,-79.8675
40.3948,-79.854
41.4622,-81.6738
41.3653,-84.9176
31.8435,-101.7946
32.9524,-99.2098
32.4097,-101.6421
36.9442,-103.7323
36.9536,-103.7341
36.3891,-118.7321
38.9186,-115.4412
36.3932,-118.7412
38.9066,-115.4347
38.924,-115.4159
43.7265,-110.0895
43.7189,-110.1389
43.7169,-110.1513
43.7372,-110.0795
43.7277,-110.1416
43.7258,-110.154
44.316,-105.8065
44.3144,-105.8206
44.361,-105.8796
44.3967,-105.9019
44.4077,-105.89
44.4061,-105.904
44.4154,-105.906
44.4263,-105.8941
44.4247,-105.908
44.4389,-105.8681
44.4373,-105.882
44.4436,-105.8755
44.4421,-105.8896
44.5732,-105.4072
44.5827,-105.4094
44.5811,-105.424
44.4357,-105.896
42.6846,-111.5855
42.6823,-111.5992
43.9129,-102.4117
43.8899,-106.3118
43.9038,-106.2741
43.9022,-106.2874
43.9006,-106.3006
43.899,-106.3139
43.9098,-106.3028
43.9082,-106.316
43.9189,-106.3049
43.9173,-106.3181
43.6711,-110.145
43.6692,-110.1575
43.678,-110.16
43.6761,-110.1725
43.6866,-110.1686
43.6846,-110.1811
43.6974,-110.1587
43.6954,-110.1712
43.7214,-110.0623
43.71,-110.1364
43.7081,-110.1488
43.7062,-110.1614
43.7284,-110.0772
44.2403,-115.1265
44.2169,-115.2434
44.2133,-115.2614
44.2098,-115.2783
44.2054,-115.3001
44.1252,-115.6932
44.1034,-115.7989
44.0989,-115.8206
44.2621,-115.0747
44.2582,-115.0941
44.2544,-115.1131
44.2507,-115.1319
44.2283,-115.2439
44.2243,-115.2638
44.2206,-115.2821
44.2159,-115.3057
44.2726,-115.0791
44.2686,-115.0993
44.265,-115.1174
44.2391,-115.2472
44.2352,-115.2669
44.231,-115.2876
44.1258,-115.8058
44.1213,-115.8279
44.2792,-115.1031
44.2498,-115.2514
44.246,-115.2703
44.2415,-115.2929
44.1635,-115.7961
44.1587,-115.8197
44.1614,-115.8031
44.212,-115.8468
44.2641,-115.6496
44.2601,-115.6693
44.2524,-115.7073
44.275,-115.6539
44.2709,-115.6744
44.2634,-115.7113
44.2594,-115.7309
44.2554,-115.7505
44.2898,-115.639
44.2817,-115.6791
44.2446,-115.8621
44.289,-115.6445
44.2848,-115.6646
44.2807,-115.6841
44.2426,-115.8671
45.7209,-106.9033
45.7193,-106.9169
45.7177,-106.9305
45.7268,-106.9326
44.4155,-115.8337
44.5133,-115.8751
44.5748,-115.863
44.6468,-115.7405
44.6429,-115.76
44.639,-115.7793
44.6539,-115.7633
44.6465,-115.7456
44.6425,-115.7651
44.6385,-115.7841
44.6575,-115.749
44.6535,-115.7686
45.4325,-114.989
45.4294,-115.0051
45.4462,-114.9752
45.4431,-114.991
45.44,-115.0072
45.5087,-114.969
45.5049,-114.9888
46.0462,-112.1919
46.0553,-112.1949
45.5884,-115.6379
45.6024,-115.6248
45.5992,-115.6407
45.6129,-115.629
45.6095,-115.6461
45.5743,-115.8817
45.6156,-115.6341
45.6121,-115.6515
45.5646,-115.8841
45.5755,-115.8876
46.1868,-113.861
46.1962,-113.8653
46.2027,-114.734
46.1767,-114.8703
46.216,-114.7204
46.2132,-114.735
46.21,-114.7518
46.19,-114.8572
46.1865,-114.8756
46.1832,-114.893
46.2261,-114.723
46.2167,-114.8296
47.8766,-109.1184
47.8748,-109.1315
44.1166,-115.216
45.0022,-106.1395
45.0006,-106.1535
45.0423,-106.206
45.0406,-106.22
45.039,-106.2338
45.0475,-106.2128
45.0489,-106.2843
45.0735,-106.3183
44.1138,-115.1731
44.1352,-115.124
44.1309,-115.1452
44.1201,-115.1988
44.1131,-115.2332
44.1277,-115.2182
44.1444,-115.2496
44.1409,-115.2674
44.1367,-115.2883
44.162,-115.2195
44.1586,-115.2365
44.1548,-115.2553
44.1508,-115.2753
44.1466,-115.2964
44.1687,-115.2435
44.1649,-115.2626
44.161,-115.2821
44.1573,-115.301
44.1797,-115.2462
44.1759,-115.2654
44.1721,-115.2844
44.1685,-115.3027
44.0804,-115.7414
44.0757,-115.7648
44.2249,-115.0747
44.2213,-115.0931
44.1905,-115.2495
44.187,-115.2674
44.1834,-115.2858
44.1796,-115.3046
44.0914,-115.7457
44.087,-115.7676
44.0787,-115.8088
44.1806,-115.2519
44.1768,-115.2706
44.173,-115.2893
44.1691,-115.308
44.0784,-115.747
44.2304,-115.0625
44.2266,-115.0814
44.2228,-115.1001
44.2196,-115.116
44.1915,-115.2548
44.188,-115.2724
44.1842,-115.2908
44.1801,-115.311
44.1727,-115.3475
44.0895,-115.7509
44.085,-115.7725
44.0765,-115.8135
44.2368,-115.0872
44.2335,-115.1039
44.2302,-115.1202
44.2061,-115.2398
44.2023,-115.2583
44.1991,-115.2742
44.1952,-115.2939
44.1904,-115.3172
44.1138,-115.6913
44.1101,-115.7091
44.0922,-115.7956
44.0877,-115.817
44.2513,-115.0719
44.2476,-115.0901
44.2441,-115.1078
36.3998,-118.7562
36.3964,-118.7522
32.9603,-99.2048
29.7611,-93.874
30.0662,-94.0558
30.0678,-94.0659
30.7458,-99.0843
30.1387,-94.3544
30.7565,-99.0826
30.7671,-99.081
30.7706,-99.1117
30.7778,-99.0794
30.7795,-99.0945
30.7885,-99.0779
45.0674,-106.3384
45.058,-106.2394
45.0844,-106.3569
45.0534,-106.1619
45.0588,-106.1859
45.096,-106.3519
45.1077,-106.3469
45.1128,-106.37
45.0875,-106.1987
45.1244,-106.3648
45.1296,-106.3881
45.0612,-106.1774
45.0993,-106.3432
45.1047,-106.3667
45.1163,-106.3613
45.1215,-106.3843
45.1332,-106.3796
45.1385,-106.4029
45.1448,-106.3744
45.15,-106.3975
45.1552,-106.4206
45.1615,-106.392
45.1667,-106.4151
45.1719,-106.4381
45.1783,-106.41
45.1834,-106.4331
45.1899,-106.4051
45.1951,-106.4283
45.2002,-106.4514
45.1752,-106.2824
45.2014,-106.3999
45.2066,-106.4231
45.2117,-106.4462
45.2078,-106.3712
45.2129,-106.3945
45.218,-106.4176
45.2232,-106.4407
45.2282,-106.4636
45.2142,-106.3428
45.2193,-106.3657
45.2244,-106.3887
45.2295,-106.4118
45.2345,-106.4348
45.2397,-106.4581
45.2066,-106.3924
45.2119,-106.4155
45.2171,-106.4386
45.2223,-106.4615
45.2076,-106.3407
45.2128,-106.3636
45.2181,-106.3868
45.2233,-106.41
45.2285,-106.4329
45.2337,-106.4558
45.2192,-106.3355
45.2244,-106.3584
45.2295,-106.3813
45.2347,-106.4042
45.2399,-106.427
45.245,-106.4498
45.2359,-106.3532
45.2412,-106.3767
45.2465,-106.4
45.2515,-106.4225
45.2567,-106.4455
45.2476,-106.3484
45.2529,-106.3719
45.258,-106.395
45.2684,-106.441
45.2644,-106.3669
45.2696,-106.3899
45.7302,-106.9174
45.7458,-106.9331
45.7347,-106.9379
45.0017,-106.243
45.007,-106.2669
45.0122,-106.2905
44.9995,-106.2656
45.0111,-106.2599
45.0165,-106.2836
45.0218,-106.3071
45.0336,-106.3022
45.0389,-106.3258
45.0506,-106.3205
45.0559,-106.3439
45.041,-106.2212
45.0463,-106.2448
44.2103,-115.8497
44.9449,-106.1631
44.9394,-106.139
44.9163,-106.0947
46.2257,-114.7176
46.2227,-114.8238
46.21,-114.7353
46.2082,-114.7229
46.1921,-114.8784
46.1903,-114.8657
46.1834,-114.881
46.1815,-114.8682
44.4542,-105.8607
44.4422,-105.8666
46.0703,-114.4797
44.4127,-105.9175
44.4068,-105.8917
45.861,-114.8232
45.6064,-115.6419
45.6047,-115.6294
45.5123,-114.9756
45.5054,-114.9909
45.4549,-114.9716
45.5739,-115.8819
45.441,-115.0013
45.4392,-114.9891
44.7415,-115.8098
44.651,-115.7628
44.6492,-115.7505
43.7175,-110.1447
44.6422,-115.7653
44.6405,-115.753
43.6906,-110.1703
44.581,-115.8535
44.5335,-115.7759
44.5174,-115.8573
44.4216,-115.8378
44.4199,-115.8257
44.2842,-115.0796
44.2824,-115.0674
44.2754,-115.082
44.2736,-115.0699
44.2685,-115.0967
44.2667,-115.0845
44.2597,-115.0991
44.2579,-115.087
44.2561,-115.0748
44.2546,-115.1259
44.2528,-115.1137
44.251,-115.1016
44.2492,-115.0894
44.2474,-115.0773
44.2459,-115.1283
44.2441,-115.1161
44.2423,-115.104
44.2405,-115.0919
44.2567,-115.2644
44.2549,-115.2522
44.2282,-115.0701
44.2497,-115.279
44.248,-115.2668
44.2462,-115.2546
44.2444,-115.2425
44.241,-115.2815
44.2392,-115.2692
44.2323,-115.2839
44.1871,-115.3022
44.1854,-115.2901
44.1766,-115.2926
44.1749,-115.2805
44.1731,-115.2685
44.1678,-115.232
44.1697,-115.3072
44.1679,-115.2952
44.1662,-115.2831
44.1644,-115.271
44.1592,-115.2977
44.1574,-115.2856
44.1556,-115.2733
44.217,-115.7636
44.1469,-115.2756
44.1451,-115.2634
44.1433,-115.2513
44.1273,-115.1422
44.1363,-115.2657
44.1203,-115.2264
44.1168,-115.2023
44.1663,-115.7973
44.1576,-115.7998
44.133,-115.8197
44.111,-115.8057
44.1092,-115.7933
44.1004,-115.7957
44.0934,-115.8106
44.0916,-115.7982
44.0847,-115.7493
44.0846,-115.813
44.0828,-115.8007
44.0758,-115.8155
44.0741,-115.8033
36.3991,-118.7834
36.391,-118.7259
36.3749,-118.7417
36.3677,-118.7555
36.4036,-118.7418
36.4006,-118.7945
36.3926,-118.7373
38.9285,-115.4391
38.9268,-115.4281
38.9249,-115.4164
38.9197,-115.4414
38.9179,-115.4304
38.9161,-115.4189
36.7511,-119.8399
36.4068,-118.7652
36.4052,-118.7536
33.4152,-110.8593
34.5077,-120.0573
40.6083,-75.3258
44.5946,-105.4232
44.5894,-105.4285
44.5881,-105.3777
43.0093,-89.4568
44.4427,-105.8626
44.4394,-105.8679
44.4063,-105.921
41.5435,-85.787
43.0532,-92.5037
43.055,-92.5156
45.3033,-106.4719
45.3024,-106.4085
45.2855,-106.4704
45.2847,-106.41
45.2839,-106.3495
45.2678,-106.4711
45.267,-106.409
45.2663,-106.3486
45.2494,-106.4106
45.2486,-106.3497
45.231,-106.3512
45.3025,-106.4181
45.2859,-106.4795
45.2848,-106.4184
45.2837,-106.3581
45.2671,-106.4176
45.266,-106.3574
45.2494,-106.4195
45.2484,-106.3582
45.2326,-106.4807
45.2317,-106.4204
45.2308,-106.3599
45.2298,-106.2997
45.2131,-106.3594
45.1609,-106.4199
45.1432,-106.4195
45.1425,-106.3593
45.2126,-106.3651
45.1607,-106.4254
45.143,-106.425
45.142,-106.3647
45.1253,-106.4264
45.1244,-106.3655
45.1076,-106.4258
45.1068,-106.3656
45.0899,-106.4267
45.0891,-106.3663
45.0715,-106.3677
45.0538,-106.3675
45.1255,-106.4351
45.1243,-106.3746
45.1077,-106.4347
45.1066,-106.3741
45.0901,-106.4354
45.089,-106.3751
45.0714,-106.3764
45.0537,-106.376
45.0527,-106.3161
45.0175,-106.3174
44.9991,-106.2582
45.0167,-106.3229
44.9077,-106.0951
44.9062,-106.1032
43.3846,-90.7068
43.1715,-89.8043
44.5935,-105.3724
39.7204,-92.4767
39.7186,-92.4652
36.3616,-95.4072
36.2633,-93.9385
35.6504,-89.9341
35.557,-89.2532
35.5621,-89.2638
35.38,-87.2491
35.94,-89.7152
36.7789,-92.7757
37.173,-93.9028
37.8349,-93.003
37.8366,-93.0143
33.0881,-82.7794
33.5779,-90.0735
33.8939,-93.1348
32.0917,-85.5885
33.0647,-90.9406
34.3637,-90.1618
34.4463,-92.6506
33.5169,-88.8614
33.5131,-88.8422
34.5041,-94.6309
33.5218,-88.8666
33.5181,-88.8473
33.8458,-90.7821
32.8973,-86.2504
33.8958,-93.1462
30.9676,-86.7833
30.9816,-86.7791
33.1477,-97.9456
32.6158,-93.4405
32.6176,-93.4518
32.6267,-93.4497
32.3718,-91.3347
32.4448,-91.3405
32.5661,-91.7901
31.6937,-86.7694
31.6997,-86.7977
33.299,-95.8083
31.6976,-86.7632
31.7038,-86.7914
32.4521,-88.7768
32.4605,-88.7902
33.0686,-90.9454
35.5942,-95.9347
33.0879,-82.7866
33.076,-82.7388
35.6729,-96.9683
34.7803,-92.1541
30.4718,-91.8787
30.2946,-93.8859
30.6155,-93.2488
30.6653,-93.1083
29.758,-99.1168
30.0441,-94.411
30.7895,-99.0997
26.2349,-97.6951
26.2363,-97.7049
26.2275,-97.7064
45.055,-106.3821
45.0278,-106.3291
45.0207,-106.2997
45.0727,-106.3801
45.06,-106.3867
45.0532,-106.3576
45.0332,-106.3336
45.0135,-106.3105
45.0064,-106.2809
44.965,-106.1677
44.9519,-106.1734
44.9446,-106.143
46.0471,-112.1908
44.6061,-105.4215
44.5978,-105.3883
46.0377,-112.1944
44.5925,-105.4284
44.5841,-105.3945
44.5704,-105.4008
46.1932,-113.8626
44.4391,-105.8864
46.2127,-114.7425
46.2019,-114.7315
44.4478,-105.8872
44.4346,-105.8941
44.4293,-105.9337
44.4214,-105.9011
44.416,-105.9402
44.4081,-105.908
46.1886,-114.8825
46.1866,-114.8699
46.1798,-114.8853
46.1779,-114.8729
46.0701,-114.4867
46.0681,-114.4743
44.8249,-108.4132
45.7121,-114.8142
45.71,-114.8009
45.6056,-115.6406
45.578,-115.8821
45.5693,-115.8846
44.9957,-114.59
44.9878,-114.5991
45.7446,-106.9222
45.745,-106.9286
45.7328,-106.9342
45.7269,-106.9084
45.3103,-106.4114
45.3035,-106.3826
45.3042,-106.4451
45.2974,-106.4165
45.2906,-106.3878
45.2838,-106.359
45.2981,-106.4788
45.2915,-106.4508
45.2848,-106.4226
45.2781,-106.3945
45.2712,-106.3657
45.2856,-106.4851
45.2791,-106.458
45.2723,-106.4295
45.2654,-106.4006
45.2585,-106.3718
45.2514,-106.3423
45.2729,-106.4909
45.2663,-106.4635
45.2595,-106.4349
45.2526,-106.4062
45.2457,-106.3774
45.2385,-106.3479
45.2315,-106.3189
45.2327,-106.3826
45.2258,-106.3539
45.2188,-106.3251
45.2894,-106.4898
45.2832,-106.463
45.2765,-106.4343
45.2698,-106.4054
45.263,-106.3765
45.2561,-106.3472
45.2768,-106.4959
45.2703,-106.4681
45.2638,-106.4402
45.257,-106.411
45.2502,-106.3824
45.2433,-106.3529
45.2364,-106.3235
45.2441,-106.4163
45.2373,-106.3876
45.2304,-106.3583
45.2237,-106.3296
45.2449,-106.4797
45.2246,-106.3934
45.2177,-106.3646
45.2322,-106.4856
45.2257,-106.458
45.213,-106.464
45.1485,-106.4306
45.1415,-106.4019
45.1777,-106.4211
45.1524,-106.4336
45.1456,-106.405
45.1464,-106.4681
45.1396,-106.4395
45.1328,-106.4104
45.1199,-106.4161
45.1131,-106.3873
45.1063,-106.3585
45.1074,-106.4228
45.1004,-106.3938
45.0934,-106.3644
45.0875,-106.3993
45.0805,-106.3699
45.0676,-106.3756
45.0479,-106.3531
44.3185,-115.1353
44.2664,-115.0984
44.2714,-115.0711
44.2733,-115.0834
44.2753,-115.0957
44.2773,-115.1083
44.2801,-115.0682
44.2821,-115.0806
44.2841,-115.093
44.2861,-115.1056
44.2881,-115.1183
44.2889,-115.0652
44.2536,-115.0762
44.2528,-115.1288
44.2508,-115.1165
44.2448,-115.0786
44.244,-115.1317
44.2421,-115.1195
44.24,-115.1069
44.2531,-115.2531
44.2335,-115.1283
44.2315,-115.116
44.2294,-115.1028
44.2482,-115.2803
44.2463,-115.2681
44.2443,-115.2556
44.2423,-115.2431
44.2306,-115.1689
44.2286,-115.1559
44.2227,-115.1188
44.2413,-115.2947
44.2394,-115.2827
44.2375,-115.2707
44.2355,-115.2581
44.2336,-115.246
44.2218,-115.1714
44.2198,-115.1589
44.2118,-115.1084
44.2324,-115.2972
44.2306,-115.2855
44.1866,-115.2984
44.1796,-115.3131
44.1777,-115.3008
44.1757,-115.288
44.1736,-115.2752
44.169,-115.3095
44.167,-115.2968
44.1631,-115.2715
44.1602,-115.3115
44.1582,-115.299
44.1524,-115.2622
44.1437,-115.2656
44.1417,-115.2527
44.1259,-115.1528
44.1238,-115.1399
44.1368,-115.2809
44.1349,-115.2688
44.1329,-115.256
44.1211,-115.1812
44.1191,-115.1689
44.2139,-115.8367
44.1261,-115.271
44.1203,-115.2344
44.1142,-115.1961
44.1123,-115.1843
44.1103,-115.1717
44.1134,-115.2494
44.1114,-115.237
44.1027,-115.2399
43.0347,-112.7715
44.3146,-115.1101
44.3165,-115.1226
44.3214,-115.0947
44.2645,-115.0861
43.7126,-110.1531
44.2909,-115.0778
44.7133,-115.8257
43.7131,-110.1583
43.7092,-110.139
43.6801,-110.1695
44.6479,-115.7552
44.6411,-115.77
44.5962,-115.7259
44.5319,-115.783
44.516,-115.8703
44.5142,-115.8582
44.3253,-115.1199
44.3234,-115.1073
44.2929,-115.0904
44.2949,-115.1029
44.2969,-115.1155
44.2998,-115.075
44.3018,-115.0876
44.3037,-115.1002
44.3057,-115.1128
44.4169,-115.8287
44.3086,-115.0723
44.3126,-115.0974
38.9183,-115.4471
38.9163,-115.4354
38.8588,-115.4168
36.3632,-118.7539
34.6574,-118.7479
36.3791,-118.7397
36.3879,-118.7379
36.3959,-118.7915
36.3966,-118.7357
37.4859,-120.8061
37.7563,-121.046
41.6119,-71.6593
41.6008,-71.4395
31.8835,-90.8118
32.9962,-90.8648
32.9979,-90.854
32.8766,-91.2101
32.8783,-91.1991
32.8915,-90.8794
32.5763,-91.794
31.2369,-97.694
31.2428,-97.6673
31.2444,-97.6891
31.2309,-97.6853
33.4809,-83.1129
32.3777,-91.4805
32.3795,-91.4692
30.7657,-99.1383
30.7737,-99.104
32.7153,-87.8216
32.8987,-86.272
32.9002,-86.2593
32.8957,-86.2789
32.8972,-86.2663
32.8988,-86.2536
32.8184,-86.266
33.0831,-82.7826
33.0262,-82.7332
32.0424,-86.2562
31.701,-86.7872
30.6609,-93.1171
30.6634,-93.1032
30.8771,-91.3647
30.9799,-89.1566
30.9712,-89.1548
30.9727,-89.1446
30.9396,-88.0174
30.9846,-86.7872
31.0506,-85.7952
31.0521,-85.7827
30.7878,-86.7406
32.6074,-93.4468
32.9467,-91.2889
32.9485,-91.2778
33.0057,-90.8613
33.0108,-90.829
32.9822,-99.1576
33.8916,-93.1475
33.8939,-93.1347
35.939,-90.5115
33.6828,-93.5118
34.4425,-94.6845
34.5168,-93.1233
34.849,-90.3166
34.5308,-92.0527
32.9836,-99.165
34.5943,-91.3688
33.6852,-93.4984
33.9958,-91.6291
33.9976,-91.6179
34.0418,-91.2891
33.9889,-91.5639
33.9907,-91.5527
33.9852,-91.4706
33.9869,-91.4595
33.9762,-91.4685
33.978,-91.4574
34.0942,-90.4747
35.1406,-79.8965
33.8673,-90.8654
33.6534,-90.8717
33.6443,-90.863
33.1557,-90.7345
34.1164,-99.1263
34.1133,-99.1015
34.8694,-95.1004
34.8765,-95.0973
35.6982,-89.2069
35.4731,-90.2149
36.2837,-98.1215
36.772,-92.7785
36.778,-92.7853
36.2763,-98.0951
36.2715,-98.1175
36.2885,-98.0992
36.9469,-103.6403
36.9387,-103.7399
36.9492,-103.6487
36.9407,-103.7477
41.6354,-87.1376
45.0824,-106.3846
44.5728,-105.4103
44.4366,-105.9249
44.5871,-105.4176
44.4169,-105.9223
44.5705,-105.4169
44.4424,-105.8905
44.4315,-105.9302
44.5951,-105.3857
44.5849,-105.4241
44.6094,-105.3932
44.5989,-105.4325
44.6235,-105.4014
44.6131,-105.4404
44.6027,-105.4796
44.9118,-106.1278
45.0729,-106.3722
45.0614,-106.4144
45.0877,-106.3798
45.0762,-106.4226
45.1026,-106.3875
45.091,-106.4303
45.0676,-106.3767
44.422,-105.9168
45.1444,-106.4678
45.1296,-106.4598
45.1413,-106.4168
45.1149,-106.4516
45.1265,-106.4091
45.1002,-106.4431
45.1119,-106.4006
45.0855,-106.4349
45.0706,-106.4272
45.0974,-106.3919
45.2565,-106.3968
45.1238,-106.4611
45.1505,-106.4262
45.1386,-106.4688
45.2092,-106.4591
45.2725,-106.3501
45.2613,-106.3918
45.2496,-106.4351
45.2381,-106.4774
45.287,-106.3589
45.2759,-106.3999
45.3017,-106.3665
45.2902,-106.4092
45.268,-106.355
45.1357,-106.4182
45.2445,-106.4402
45.2328,-106.482
45.2825,-106.3637
45.2712,-106.4047
45.2971,-106.3718
45.2855,-106.414
45.3119,-106.3789
45.73,-106.9329
45.7385,-106.9467
33.9287,-116.8518
33.9307,-116.8402
33.4162,-110.8638
36.4048,-118.7666
36.3879,-118.7365
38.9164,-115.4457
38.8536,-115.4242
38.9179,-115.4346
38.9076,-115.4437
38.8711,-115.4285
38.8504,-115.4465
44.1612,-115.3183
44.0989,-115.811
44.9255,-106.0442
44.1929,-115.138
44.1718,-115.3085
44.1703,-115.3207
44.1079,-115.8134
44.9356,-106.1706
44.2054,-115.1131
44.1825,-115.298
44.1809,-115.3109
44.1168,-115.8162
44.2194,-115.0752
44.1999,-115.2338
44.1932,-115.2874
44.1916,-115.3004
44.1901,-115.3124
44.1258,-115.8184
44.1242,-115.8309
44.2288,-115.076
44.2187,-115.1578
44.2171,-115.1713
44.2106,-115.2231
44.2091,-115.2354
44.2075,-115.2482
44.2381,-115.0777
44.2328,-115.1198
44.2313,-115.1327
44.2297,-115.1456
44.2279,-115.1599
44.2262,-115.1735
44.2183,-115.2376
44.2572,-114.9988
44.2539,-115.0261
44.2522,-115.0395
44.2472,-115.0802
44.2421,-115.1213
44.2405,-115.1343
44.2388,-115.1482
44.237,-115.1626
44.2353,-115.1761
44.229,-115.2269
44.2272,-115.2413
44.2614,-115.0417
44.2597,-115.0555
44.258,-115.0696
44.2563,-115.0828
44.2547,-115.0963
44.253,-115.1097
44.2514,-115.1229
44.2497,-115.1364
44.2379,-115.2304
44.2362,-115.2442
44.2346,-115.257
44.2313,-115.2833
44.2298,-115.2954
44.2723,-115.0305
44.2671,-115.072
44.2655,-115.085
44.2639,-115.0981
44.2506,-115.205
44.2471,-115.2324
44.2454,-115.2459
44.2437,-115.2594
44.242,-115.2728
44.2405,-115.2851
44.2815,-115.0326
