longitude,latitude
-118.7321,36.3891
-118.7412,36.3932
-118.7562,36.3998
-118.7522,36.3964
-118.7834,36.3991
-118.7259,36.391
-118.7417,36.3749
-118.7555,36.3677
-118.7418,36.4036
-118.7945,36.4006
-118.7373,36.3926
-118.7652,36.4068
-118.7536,36.4052
-118.7539,36.3632
-118.7397,36.3791
-118.7379,36.3879
-118.7915,36.3959
-118.7357,36.3966
-118.7666,36.4048
-118.7365,36.3879
-86.7694,31.6937
-86.7977,31.6997
-86.7632,31.6976
-86.7914,31.7038
-86.7872,31.701
-91.6291,33.9958
-91.6179,33.9976
-91.5639,33.9889
-91.5527,33.9907
-91.4706,33.9852
-91.4595,33.9869
-91.4685,33.9762
-91.4574,33.978
-114.734,46.2027
-114.8703,46.1767
-114.7204,46.216
-114.735,46.2132
-114.7518,46.21
-114.8572,46.19
-114.8756,46.1865
-114.893,46.1832
-114.723,46.2261
-114.8296,46.2167
-114.7176,46.2257
-114.8238,46.2227
-114.7353,46.21
-114.7229,46.2082
-114.8784,46.1921
-114.8657,46.1903
-114.881,46.1834
-114.8682,46.1815
-114.7425,46.2127
-114.7315,46.2019
-114.8825,46.1886
-114.8699,46.1866
-114.8853,46.1798
-114.8729,46.1779
-82.7794,33.0881
-82.7866,33.0879
-82.7388,33.076
-82.7826,33.0831
-82.7332,33.0262
-114.734,46.2027
-114.8703,46.1767
-114.7204,46.216
-114.735,46.2132
-114.7518,46.21
-114.8572,46.19
-114.8756,46.1865
-114.893,46.1832
-114.723,46.2261
-114.8296,46.2167
-114.7176,46.2257
-114.8238,46.2227
-114.7353,46.21
-114.7229,46.2082
-114.8784,46.1921
-114.8657,46.1903
-114.881,46.1834
-114.8682,46.1815
-114.7425,46.2127
-114.7315,46.2019
-114.8825,46.1886
-114.8699,46.1866
-114.8853,46.1798
-114.8729,46.1779
-106.1395,45.0022
-106.1535,45.0006
-106.206,45.0423
-106.22,45.0406
-106.2338,45.039
-106.2128,45.0475
-106.2843,45.0489
-106.3183,45.0735
-106.3384,45.0674
-106.2394,45.058
-106.3569,45.0844
-106.1619,45.0534
-106.1859,45.0588
-106.3519,45.096
-106.3469,45.1077
-106.37,45.1128
-106.1987,45.0875
-106.3648,45.1244
-106.3881,45.1296
-106.1774,45.0612
-106.3432,45.0993
-106.3667,45.1047
-106.3613,45.1163
-106.3843,45.1215
-106.3796,45.1332
-106.4029,45.1385
-106.3744,45.1448
-106.3975,45.15
-106.4206,45.1552
-106.392,45.1615
-106.4151,45.1667
-106.4381,45.1719
-106.41,45.1783
-106.4331,45.1834
-106.4051,45.1899
-106.4283,45.1951
-106.4514,45.2002
-106.2824,45.1752
-106.3999,45.2014
-106.4231,45.2066
-106.4462,45.2117
-106.3712,45.2078
-106.3945,45.2129
-106.4176,45.218
-106.4407,45.2232
-106.4636,45.2282
-106.3428,45.2142
-106.3657,45.2193
-106.3887,45.2244
-106.4118,45.2295
-106.4348,45.2345
-106.4581,45.2397
-106.3924,45.2066
-106.4155,45.2119
-106.4386,45.2171
-106.4615,45.2223
-106.3407,45.2076
-106.3636,45.2128
-106.3868,45.2181
-106.41,45.2233
-106.4329,45.2285
-106.4558,45.2337
-106.3355,45.2192
-106.3584,45.2244
-106.3813,45.2295
-106.4042,45.2347
-106.427,45.2399
-106.4498,45.245
-106.3532,45.2359
-106.3767,45.2412
-106.4,45.2465
-106.4225,45.2515
-106.4455,45.2567
-106.3484,45.2476
-106.3719,45.2529
-106.395,45.258
-106.441,45.2684
-106.3669,45.2644
-106.3899,45.2696
-106.243,45.0017
-106.2669,45.007
-106.2905,45.0122
-106.2656,44.9995
-106.2599,45.0111
-106.2836,45.0165
-106.3071,45.0218
-106.3022,45.0336
-106.3258,45.0389
-106.3205,45.0506
-106.3439,45.0559
-106.2212,45.041
-106.2448,45.0463
-106.4719,45.3033
-106.4085,45.3024
-106.4704,45.2855
-106.41,45.2847
-106.3495,45.2839
-106.4711,45.2678
-106.409,45.267
-106.3486,45.2663
-106.4106,45.2494
-106.3497,45.2486
-106.3512,45.231
-106.4181,45.3025
-106.4795,45.2859
-106.4184,45.2848
-106.3581,45.2837
-106.4176,45.2671
-106.3574,45.266
-106.4195,45.2494
-106.3582,45.2484
-106.4807,45.2326
-106.4204,45.2317
-106.3599,45.2308
-106.2997,45.2298
-106.3594,45.2131
-106.4199,45.1609
-106.4195,45.1432
-106.3593,45.1425
-106.3651,45.2126
-106.4254,45.1607
-106.425,45.143
-106.3647,45.142
-106.4264,45.1253
-106.3655,45.1244
-106.4258,45.1076
-106.3656,45.1068
-106.4267,45.0899
-106.3663,45.0891
-106.3677,45.0715
-106.3675,45.0538
-106.4351,45.1255
-106.3746,45.1243
-106.4347,45.1077
-106.3741,45.1066
-106.4354,45.0901
-106.3751,45.089
-106.3764,45.0714
-106.376,45.0537
-106.3161,45.0527
-106.3174,45.0175
-106.2582,44.9991
-106.3229,45.0167
-106.3821,45.055
-106.3291,45.0278
-106.2997,45.0207
-106.3801,45.0727
-106.3867,45.06
-106.3576,45.0532
-106.3336,45.0332
-106.3105,45.0135
-106.2809,45.0064
-106.4114,45.3103
-106.3826,45.3035
-106.4451,45.3042
-106.4165,45.2974
-106.3878,45.2906
-106.359,45.2838
-106.4788,45.2981
-106.4508,45.2915
-106.4226,45.2848
-106.3945,45.2781
-106.3657,45.2712
-106.4851,45.2856
-106.458,45.2791
-106.4295,45.2723
-106.4006,45.2654
-106.3718,45.2585
-106.3423,45.2514
-106.4909,45.2729
-106.4635,45.2663
-106.4349,45.2595
-106.4062,45.2526
-106.3774,45.2457
-106.3479,45.2385
-106.3189,45.2315
-106.3826,45.2327
-106.3539,45.2258
-106.3251,45.2188
-106.4898,45.2894
-106.463,45.2832
-106.4343,45.2765
-106.4054,45.2698
-106.3765,45.263
-106.3472,45.2561
-106.4959,45.2768
-106.4681,45.2703
-106.4402,45.2638
-106.411,45.257
-106.3824,45.2502
-106.3529,45.2433
-106.3235,45.2364
-106.4163,45.2441
-106.3876,45.2373
-106.3583,45.2304
-106.3296,45.2237
-106.4797,45.2449
-106.3934,45.2246
-106.3646,45.2177
-106.4856,45.2322
-106.458,45.2257
-106.464,45.213
-106.4306,45.1485
-106.4019,45.1415
-106.4211,45.1777
-106.4336,45.1524
-106.405,45.1456
-106.4681,45.1464
-106.4395,45.1396
-106.4104,45.1328
-106.4161,45.1199
-106.3873,45.1131
-106.3585,45.1063
-106.4228,45.1074
-106.3938,45.1004
-106.3644,45.0934
-106.3993,45.0875
-106.3699,45.0805
-106.3756,45.0676
-106.3531,45.0479
-106.3846,45.0824
-106.3722,45.0729
-106.4144,45.0614
-106.3798,45.0877
-106.4226,45.0762
-106.3875,45.1026
-106.4303,45.091
-106.3767,45.0676
-106.4678,45.1444
-106.4598,45.1296
-106.4168,45.1413
-106.4516,45.1149
-106.4091,45.1265
-106.4431,45.1002
-106.4006,45.1119
-106.4349,45.0855
-106.4272,45.0706
-106.3919,45.0974
-106.3968,45.2565
-106.4611,45.1238
-106.4262,45.1505
-106.4688,45.1386
-106.4591,45.2092
-106.3501,45.2725
-106.3918,45.2613
-106.4351,45.2496
-106.4774,45.2381
-106.3589,45.287
-106.3999,45.2759
-106.3665,45.3017
-106.4092,45.2902
-106.355,45.268
-106.4182,45.1357
-106.4402,45.2445
-106.482,45.2328
-106.3637,45.2825
-106.4047,45.2712
-106.3718,45.2971
-106.414,45.2855
-106.3789,45.3119
-106.3885,45.0621
-106.3919,45.092
-106.4305,45.0902
-106.3931,45.107
-106.4322,45.1051
-106.4327,45.1201
-106.3938,45.0749
-106.396,45.0899
-106.4347,45.0882
-106.3977,45.1048
-106.4365,45.1031
-106.4372,45.1181
-106.4387,45.1331
-106.4405,45.148
-106.4415,45.163
-106.4802,45.1612
-106.4425,45.1779
-106.4811,45.1761
-106.4458,45.2078
-106.484,45.2059
-106.4493,45.1632
-106.4504,45.1782
-106.4539,45.2081
-106.4918,45.2064
-106.3805,45.2867
-106.3827,45.3017
-106.4213,45.2998
-106.3447,45.2709
-106.3455,45.286
-106.3852,45.2843
-106.3473,45.301
-106.3868,45.2993
-106.425,45.2976
-106.3889,45.3143
-106.4278,45.3126
-106.4286,45.0753
-90.9406,33.0647
-90.8648,32.9962
-90.854,32.9979
-90.8613,33.0057
-90.829,33.0108
-106.1395,45.0022
-106.1535,45.0006
-106.206,45.0423
-106.22,45.0406
-106.2338,45.039
-106.2128,45.0475
-106.2843,45.0489
-106.3183,45.0735
-106.3384,45.0674
-106.2394,45.058
-106.3569,45.0844
-106.1619,45.0534
-106.1859,45.0588
-106.3519,45.096
-106.3469,45.1077
-106.37,45.1128
-106.1987,45.0875
-106.3648,45.1244
-106.3881,45.1296
-106.1774,45.0612
-106.3432,45.0993
-106.3667,45.1047
-106.3613,45.1163
-106.3843,45.1215
-106.3796,45.1332
-106.4029,45.1385
-106.3744,45.1448
-106.3975,45.15
-106.4206,45.1552
-106.392,45.1615
-106.4151,45.1667
-106.4381,45.1719
-106.41,45.1783
-106.4331,45.1834
-106.4051,45.1899
-106.4283,45.1951
-106.4514,45.2002
-106.2824,45.1752
-106.3999,45.2014
-106.4231,45.2066
-106.4462,45.2117
-106.3712,45.2078
-106.3945,45.2129
-106.4176,45.218
-106.4407,45.2232
-106.4636,45.2282
-106.3428,45.2142
-106.3657,45.2193
-106.3887,45.2244
-106.4118,45.2295
-106.4348,45.2345
-106.4581,45.2397
-106.3924,45.2066
-106.4155,45.2119
-106.4386,45.2171
-106.4615,45.2223
-106.3407,45.2076
-106.3636,45.2128
-106.3868,45.2181
-106.41,45.2233
-106.4329,45.2285
-106.4558,45.2337
-106.3355,45.2192
-106.3584,45.2244
-106.3813,45.2295
-106.4042,45.2347
-106.427,45.2399
-106.4498,45.245
-106.3532,45.2359
-106.3767,45.2412
-106.4,45.2465
-106.4225,45.2515
-106.4455,45.2567
-106.3484,45.2476
-106.3719,45.2529
-106.395,45.258
-106.441,45.2684
-106.3669,45.2644
-106.3899,45.2696
-106.243,45.0017
-106.2669,45.007
-106.2905,45.0122
-106.2656,44.9995
-106.2599,45.0111
-106.2836,45.0165
-106.3071,45.0218
-106.3022,45.0336
-106.3258,45.0389
-106.3205,45.0506
-106.3439,45.0559
-106.2212,45.041
-106.2448,45.0463
-106.4719,45.3033
-106.4085,45.3024
-106.4704,45.2855
-106.41,45.2847
-106.3495,45.2839
-106.4711,45.2678
-106.409,45.267
-106.3486,45.2663
-106.4106,45.2494
-106.3497,45.2486
-106.3512,45.231
-106.4181,45.3025
-106.4795,45.2859
-106.4184,45.2848
-106.3581,45.2837
-106.4176,45.2671
-106.3574,45.266
-106.4195,45.2494
-106.3582,45.2484
-106.4807,45.2326
-106.4204,45.2317
-106.3599,45.2308
-106.2997,45.2298
-106.3594,45.2131
-106.4199,45.1609
-106.4195,45.1432
-106.3593,45.1425
-106.3651,45.2126
-106.4254,45.1607
-106.425,45.143
-106.3647,45.142
-106.4264,45.1253
-106.3655,45.1244
-106.4258,45.1076
-106.3656,45.1068
-106.4267,45.0899
-106.3663,45.0891
-106.3677,45.0715
-106.3675,45.0538
-106.4351,45.1255
-106.3746,45.1243
-106.4347,45.1077
-106.3741,45.1066
-106.4354,45.0901
-106.3751,45.089
-106.3764,45.0714
-106.376,45.0537
-106.3161,45.0527
-106.3174,45.0175
-106.2582,44.9991
-106.3229,45.0167
-106.3821,45.055
-106.3291,45.0278
-106.2997,45.0207
-106.3801,45.0727
-106.3867,45.06
-106.3576,45.0532
-106.3336,45.0332
-106.3105,45.0135
-106.2809,45.0064
-106.4114,45.3103
-106.3826,45.3035
-106.4451,45.3042
-106.4165,45.2974
-106.3878,45.2906
-106.359,45.2838
-106.4788,45.2981
-106.4508,45.2915
-106.4226,45.2848
-106.3945,45.2781
-106.3657,45.2712
-106.4851,45.2856
-106.458,45.2791
-106.4295,45.2723
-106.4006,45.2654
-106.3718,45.2585
-106.3423,45.2514
-106.4909,45.2729
-106.4635,45.2663
-106.4349,45.2595
-106.4062,45.2526
-106.3774,45.2457
-106.3479,45.2385
-106.3189,45.2315
-106.3826,45.2327
-106.3539,45.2258
-106.3251,45.2188
-106.4898,45.2894
-106.463,45.2832
-106.4343,45.2765
-106.4054,45.2698
-106.3765,45.263
-106.3472,45.2561
-106.4959,45.2768
-106.4681,45.2703
-106.4402,45.2638
-106.411,45.257
-106.3824,45.2502
-106.3529,45.2433
-106.3235,45.2364
-106.4163,45.2441
-106.3876,45.2373
-106.3583,45.2304
-106.3296,45.2237
-106.4797,45.2449
-106.3934,45.2246
-106.3646,45.2177
-106.4856,45.2322
-106.458,45.2257
-106.464,45.213
-106.4306,45.1485
-106.4019,45.1415
-106.4211,45.1777
-106.4336,45.1524
-106.405,45.1456
-106.4681,45.1464
-106.4395,45.1396
-106.4104,45.1328
-106.4161,45.1199
-106.3873,45.1131
-106.3585,45.1063
-106.4228,45.1074
-106.3938,45.1004
-106.3644,45.0934
-106.3993,45.0875
-106.3699,45.0805
-106.3756,45.0676
-106.3531,45.0479
-106.3846,45.0824
-106.3722,45.0729
-106.4144,45.0614
-106.3798,45.0877
-106.4226,45.0762
-106.3875,45.1026
-106.4303,45.091
-106.3767,45.0676
-106.4678,45.1444
-106.4598,45.1296
-106.4168,45.1413
-106.4516,45.1149
-106.4091,45.1265
-106.4431,45.1002
-106.4006,45.1119
-106.4349,45.0855
-106.4272,45.0706
-106.3919,45.0974
-106.3968,45.2565
-106.4611,45.1238
-106.4262,45.1505
-106.4688,45.1386
-106.4591,45.2092
-106.3501,45.2725
-106.3918,45.2613
-106.4351,45.2496
-106.4774,45.2381
-106.3589,45.287
-106.3999,45.2759
-106.3665,45.3017
-106.4092,45.2902
-106.355,45.268
-106.4182,45.1357
-106.4402,45.2445
-106.482,45.2328
-106.3637,45.2825
-106.4047,45.2712
-106.3718,45.2971
-106.414,45.2855
-106.3789,45.3119
-106.3885,45.0621
-106.3919,45.092
-106.4305,45.0902
-106.3931,45.107
-106.4322,45.1051
-106.4327,45.1201
-106.3938,45.0749
-106.396,45.0899
-106.4347,45.0882
-106.3977,45.1048
-106.4365,45.1031
-106.4372,45.1181
-106.4387,45.1331
