latitude,longitude
19.39636,-155.28789
19.40525,-155.28346
19.41242,-155.28993
28.93079,-97.86353
32.17714,-102.26106
43.27352,-95.24132
45.92788,-93.87209
45.92953,-93.85561
46.11145,-97.03146
48.05139,-99.54446
48.85886,-99.80766
48.88674,-99.80312
33.34941,-108.56379
33.36544,-108.56274
39.09873,-122.1906
33.3501,-108.55585
33.35725,-108.5437
33.3588,-108.55405
33.36594,-108.54189
33.36749,-108.55224
33.41622,-110.86099
33.42174,-110.8533
33.42322,-110.86482
45.99794,-119.62155
35.96283,-80.46223
36.75924,-80.59272
39.40669,-80.39486
39.40869,-80.40702
39.62468,-80.25299
39.62673,-80.26534
40.3967,-79.85297
41.6676,-78.55624
42.85551,-77.01435
42.85838,-77.02991
26.47382,-80.9581
26.50109,-80.91869
26.50396,-80.93472
26.51211,-80.91621
26.57021,-80.91349
26.82566,-80.59342
26.8271,-80.59939
27.57232,-81.56427
28.94957,-82.1836
29.82276,-83.21616
30.17219,-82.57314
30.29472,-82.07726
30.34265,-83.87048
30.45087,-85.22241
30.45233,-85.23251
30.56766,-83.58799
30.56931,-83.59863
30.61229,-83.93726
30.61389,-83.94771
30.61406,-83.82912
30.63211,-83.34731
30.64789,-83.68598
30.66179,-86.89077
30.6632,-86.90159
30.69091,-83.7859
30.69253,-83.79641
30.70143,-83.79462
30.74016,-84.10899
30.74173,-84.11934
30.749,-84.10723
30.75056,-84.11757
30.75183,-86.52401
30.77394,-87.19028
30.78218,-83.35959
30.7973,-83.27825
30.84001,-83.37437
30.89675,-83.44018
30.92665,-83.15987
30.99369,-83.64474
30.99533,-83.6553
30.99645,-84.02801
30.99802,-84.03839
31.07001,-83.07196
31.11549,-87.27982
31.19413,-84.4744
31.2217,-83.80276
31.28621,-83.32307
31.32222,-82.67668
31.3314,-82.6747
31.33322,-82.68599
31.39969,-84.69118
31.40118,-84.70139
31.41932,-83.94387
31.49073,-82.24019
31.56576,-84.56207
31.57064,-84.39632
31.58408,-85.72344
31.59866,-82.95075
31.64217,-84.37622
31.6437,-84.38649
31.70585,-82.81236
31.74241,-81.72884
31.74276,-86.21591
31.75169,-86.21433
31.90525,-85.05655
31.90551,-82.54723
31.9137,-82.55118
32.01569,-81.8129
32.03891,-82.51735
32.14228,-82.52383
32.27382,-81.92216
32.48597,-81.11994
32.56895,-86.69172
32.6288,-84.55305
32.7157,-80.65338
32.73001,-84.86701
32.73148,-84.87738
32.81475,-83.5565
33.0447,-82.12939
33.05052,-82.12163
33.05243,-82.13318
33.17949,-83.71128
33.29643,-83.37968
33.37802,-80.3606
33.45206,-80.84595
33.66783,-79.95268
33.82738,-80.5022
33.82973,-80.5156
34.44558,-81.89922
34.44998,-82.6841
34.50924,-82.47073
34.96498,-82.06749
35.21188,-79.05328
