latitude,longitude
35.60433,-109.16896
35.60553,-109.16339
35.61879,-109.17437
35.61998,-109.16886
35.62627,-109.14256
35.6333,-109.17954
35.62759,-109.15842
35.60801,-109.16447
35.61004,-109.17676
35.61205,-109.18898
35.61292,-109.15717
35.61501,-109.16952
35.62008,-109.14237
35.62216,-109.15469
35.60117,-109.2069
35.6198,-109.17716
37.34299,-113.48577
37.39044,-113.44881
37.39062,-113.42025
37.39225,-113.41624
37.38083,-113.43303
37.38828,-113.41859
37.52849,-75.87778
37.53102,-75.80539
37.53293,-75.79377
37.5711,-75.847
37.57496,-75.82369
