latitude,longitude,closepoint
37.8676563,-122.2318813,0
37.8481378,-122.2495916,0
37.8405841,-122.2544782,0
37.848284,-122.2574447,0
37.8485452,-122.2647353,0
37.8419909,-122.2648882,0
37.8417014,-122.2722628,0
37.8454176,-122.2832338,0
37.839413,-122.280255,0
37.8312043,-122.2718866,0
37.8304839,-122.2638399,0
37.8306009,-122.2579159,0
37.8181386,-122.2667055,0
37.8207423,-122.273409,0
37.8229286,-122.2806336,0
37.8173713,-122.2814822,0
37.8095098,-122.2982554,0
37.8063266,-122.2962183,0
37.8120305,-122.2824576,0
37.8057305,-122.2847803,0
37.80427,-122.2799551,0
37.8103325,-122.2770981,0
37.8095483,-122.2707403,0
37.8070174,-122.2735577,0
37.8071852,-122.2667035,0
37.8004341,-122.2707274,0
37.8022741,-122.2755012,0
37.7981065,-122.266955,0
37.7937603,-122.2667344,0
37.8092493,-122.2597833,0
37.8024095,-122.2651075,0
37.8177398,-122.2600504,0
37.8159444,-122.2569636,0
37.8135239,-122.2534812,0
37.8112134,-122.2586656,0
37.8094979,-122.2520933,0
37.8148236,-122.2416662,0
37.8171784,-122.2487713,0
37.8233126,-122.2536627,0
37.8300877,-122.2498696,0
37.8260219,-122.2510667,0
37.8361052,-122.2344831,0
37.844821,-122.2385523,0
37.8462275,-122.2149841,0
37.8271275,-122.2171515,0
37.8346277,-122.2024752,0
37.8199301,-122.1912387,0
37.8133308,-122.2069747,0
37.8055076,-122.2131962,0
37.8041422,-122.2215059,0
37.8120851,-122.2190899,0
37.811425,-122.2322366,0
37.8052759,-122.2433884,0
37.8020757,-122.2513558,0
37.7985075,-122.2543138,0
37.7965384,-122.2494562,0
37.7933319,-122.2461006,0
37.7982821,-122.243279,0
37.8008019,-122.2372726,0
37.7982307,-122.2296737,0
37.7939452,-122.2330985,0
37.7877859,-122.2357701,0
37.7909447,-122.240953,0
37.79237,-122.2603108,0
37.7741755,-122.2275801,0
37.7850449,-122.2307359,0
37.7819786,-122.2265557,0
37.789288,-122.2250127,0
37.7986398,-122.222061,0
37.7880811,-122.2169865,0
37.7936093,-122.2079606,0
37.7964782,-122.2143072,0
37.8033164,-122.2022249,0
37.7978944,-122.1949575,0
37.7932754,-122.1903789,0
37.7879458,-122.2024901,0
37.7831286,-122.2143965,0
37.7807761,-122.2102384,0
37.7777848,-122.2192819,0
37.7621786,-122.2109235,0
37.7710407,-122.2067479,0
37.769515,-122.1976093,0
37.7775293,-122.2031992,0
37.7765251,-122.1932278,0
37.7817468,-122.1868539,0
