latitude,longitude,closepoint,north,south,east,west
31.145787,-83.427248,1,0,0,0,0
30.906213,-84.572652,1,0,0,0,0
30.410839,-91.032862,1,0,0,0,0
32.430552,-80.714653,1,0,0,0,0
45.339948,-93.745209,1,0,0,0,0
32.253775,-80.867672,1,0,0,0,0
32.271051,-80.966117,1,0,0,0,0
35.931893,-89.917459,1,0,0,0,0
30.876065,-84.204737,1,0,0,0,0
39.200523,-122.008272,1,0,0,0,0
30.042912,-94.894291,1,0,0,0,0
39.464498,-80.158601,1,0,0,0,0
29.364635,-94.997589,1,0,0,0,0
29.773021,-95.400395,1,0,0,0,0
41.36374,-93.565439,1,0,0,0,0
30.213207,-93.251535,1,0,0,0,0
45.9798,-94.359148,1,0,0,0,0
29.003751,-82.196202,1,0,0,0,0
40.16725,-79.889374,1,0,0,0,0
29.820542,-94.830514,1,0,0,0,0
31.177346,-83.777392,1,0,0,0,0
41.031588,-93.769466,1,0,0,0,0
40.45932,-79.960164,1,0,0,0,0
45.568215,-93.590254,1,0,0,0,0
32.291561,-81.220108,1,0,0,0,0
30.476367,-84.27224,1,0,0,0,0
28.946365,-81.996972,1,0,0,0,0
30.845091,-83.95846,1,0,0,0,0
39.153302,-122.148108,1,0,0,0,0
30.653712,-91.174013,1,0,0,0,0
45.444199,-93.596329,1,0,0,0,0
