latitude,longitude
19.40102,-155.28517
19.40503,-155.29097
19.40563,-155.28574
19.4062,-155.28065
19.40677,-155.2756
19.40961,-155.29179
19.41021,-155.2865
19.4108,-155.28133
19.41138,-155.27623
19.41538,-155.28209
19.41598,-155.27684
47.97767,-94.73405
47.98356,-94.73384
38.77686,-79.39414
39.07978,-79.69024
39.08467,-78.0452
39.47752,-79.06674
39.56009,-77.16983
39.62712,-80.25745
39.62793,-80.2621
39.63045,-80.25649
39.63126,-80.26112
40.13054,-79.58588
40.23478,-78.90601
40.30311,-79.87922
40.30818,-80.60706
40.31147,-80.60609
40.31224,-80.61066
40.3247,-79.90239
40.39155,-79.85559
40.39407,-79.84993
40.39489,-79.8546
40.40586,-79.79716
40.44574,-80.60807
40.56979,-83.13743
40.66504,-80.3447
40.66834,-80.34373
40.75362,-81.43766
40.75434,-81.44215
40.75617,-81.43226
41.00527,-96.15478
41.46168,-81.67406
41.97475,-93.38888
41.97584,-93.3888
42.0601,-80.02257
42.338,-96.38207
42.38643,-91.20419
42.38751,-91.20406
45.31566,-85.30302
45.69038,-91.8401
45.93155,-93.85772
45.97332,-85.87759
45.97431,-85.8788
46.11079,-97.02892
46.51607,-84.39496
46.51688,-84.37006
46.51828,-84.38208
46.7321,-92.07862
33.00565,-79.88078
33.01395,-79.88396
33.18486,-80.1413
33.30387,-82.70071
33.30718,-82.69991
33.33839,-82.76231
33.58113,-86.78162
33.58457,-86.78095
33.66179,-84.99609
33.73361,-86.15462
34.15189,-79.55959
34.23833,-84.79824
34.33492,-79.16862
34.34686,-82.7774
34.68276,-77.20196
34.70461,-77.56995
34.79518,-80.69272
34.88901,-81.93633
35.0422,-81.84518
35.06662,-78.70123
35.08038,-77.73045
35.21148,-93.83833
35.22902,-92.32098
35.2309,-92.32155
35.41484,-94.48283
35.42745,-81.35313
35.50208,-80.32967
35.71185,-78.83739
35.79225,-91.74453
35.89158,-89.77852
35.89203,-89.78295
35.8961,-89.78233
35.93433,-89.71375
36.0354,-83.35172
36.19193,-95.81133
36.19337,-95.81396
36.20581,-92.87973
36.34303,-94.52067
36.34632,-94.52156
36.51131,-82.54494
36.6911,-76.33046
36.88102,-94.67952
37.04732,-95.60995
37.05118,-95.60692
37.34706,-92.09673
37.34912,-92.10085
37.38276,-93.36168
37.45861,-79.9975
37.79586,-96.87599
38.59632,-82.82853
38.597,-82.83289
38.59892,-82.82335
38.59959,-82.82771
39.55322,-94.53995
25.85948,-80.34372
26.27809,-80.15287
27.68327,-82.32106
28.70283,-96.54342
28.93505,-97.86391
28.97942,-95.39588
29.00007,-97.52887
29.00128,-95.40465
29.0661,-95.75105
29.22415,-95.20338
29.34079,-97.11141
29.3408,-97.11186
29.36793,-94.90781
29.36822,-94.91122
29.37391,-94.91751
29.3742,-94.92092
29.37569,-94.9381
29.59913,-89.89734
29.68402,-91.47507
29.70473,-95.24813
29.70766,-95.07063
29.71089,-95.07027
29.71922,-95.23206
29.7201,-95.23216
29.72577,-95.12254
29.73593,-95.16496
29.73849,-94.99979
29.73906,-95.00681
29.74364,-94.99923
29.74478,-95.01328
29.75497,-93.88162
29.75871,-93.86905
29.75924,-93.87504
29.75978,-93.88106
29.80425,-93.354
29.80891,-93.35342
29.81356,-93.35284
29.82657,-95.11932
29.82687,-95.12289
29.82772,-95.118
29.828,-95.1216
29.83458,-93.96313
29.83558,-93.96391
29.87495,-94.92758
29.8768,-94.82594
29.87893,-94.91307
29.88836,-93.96309
29.99455,-90.39381
29.99459,-90.39613
29.99583,-90.40523
29.99594,-90.40752
29.99918,-90.40124
30.04869,-93.75272
30.05333,-90.66842
30.05348,-93.75214
30.06646,-94.07079
30.07685,-90.9183
30.11457,-93.29949
30.14619,-93.33548
30.14792,-90.85844
30.18817,-90.99076
30.24286,-93.27734
30.2579,-93.28687
30.32186,-91.23773
30.3264,-91.2807
30.32644,-91.24143
30.3383,-83.19204
30.34224,-88.48646
30.3936,-81.56023
30.4817,-91.1805
30.58311,-91.24203
30.65442,-90.1329
30.86234,-94.518
30.94086,-88.01114
30.94146,-88.01572
30.94437,-88.01052
31.03524,-86.0079
31.03783,-83.48665
31.14716,-87.98801
31.15068,-87.9874
31.27377,-81.5712
31.2789,-90.68585
31.35056,-96.169
31.48218,-82.89703
31.58221,-87.49043
31.79772,-89.43794
31.8752,-82.20729
31.99607,-90.22077
32.17826,-85.02761
32.27615,-92.72921
32.31303,-90.13219
32.31371,-90.13822
32.44496,-94.699
32.48316,-92.15451
32.56842,-89.28249
32.56852,-89.27908
32.76594,-93.0357
32.92998,-94.38343
33.09132,-86.80583
33.10442,-86.79874
33.17947,-86.7591
33.21521,-86.78894
33.21925,-86.79272
33.22232,-86.81518
33.30834,-96.48736
33.43876,-88.56983
33.44616,-88.56856
33.44745,-88.57909
33.44848,-88.57075
41.48038,-90.83277
41.48426,-90.8232
44.85164,-93.00391
45.14209,-93.89204
45.97054,-85.87853
46.1134,-97.0293
46.51283,-84.39513
46.51498,-84.40137
46.51601,-84.40385
46.52094,-84.37424
46.70286,-98.04526
46.73077,-92.07677
47.11162,-119.37701
47.35312,-101.83597
47.35645,-101.83463
47.36412,-101.83733
47.46999,-103.21155
47.56059,-103.03488
47.75861,-103.01758
47.97761,-94.7313
47.97914,-94.73741
