latitude,longitude
39.09344,-122.18897
39.09364,-122.19501
39.09248,-122.18972
39.09343,-122.19342
39.09503,-122.19098
35.89158,-89.77852
35.89203,-89.78295
35.8961,-89.78233
35.93433,-89.71375
35.88961,-89.77843
35.93457,-89.71387
28.94679,-82.18308
28.9496,-82.18786
28.95018,-82.18369
28.95075,-82.17953
28.95133,-82.17536
28.95299,-82.18847
28.95356,-82.1843
28.95414,-82.18013
28.95472,-82.17596
28.95695,-82.18491
31.03783,-83.48665
30.9907,-83.64677
30.99343,-83.65146
30.99401,-83.6474
30.99674,-83.65211
19.40102,-155.28517
19.40503,-155.29097
19.40563,-155.28574
19.4062,-155.28065
19.40677,-155.2756
19.40961,-155.29179
19.41021,-155.2865
19.4108,-155.28133
19.41138,-155.27623
19.41538,-155.28209
19.41598,-155.27684
19.40137,-155.28755
19.40201,-155.2907
19.40442,-155.27721
19.40503,-155.28021
19.40565,-155.28326
19.40629,-155.28636
19.40694,-155.28954
19.4076,-155.29282
19.40873,-155.27304
19.40935,-155.27608
19.40997,-155.2791
19.4106,-155.28221
19.41124,-155.28535
19.4119,-155.28857
19.41428,-155.2749
19.41491,-155.27797
19.41555,-155.28117
19.41623,-155.2845
41.15538,-93.6796
41.15666,-93.6735
41.15714,-93.67791
41.26669,-93.58782
41.2704,-93.58917
37.57658,-95.18865
37.57785,-95.18314
37.58036,-95.17217
37.58098,-95.10796
37.5816,-95.16675
37.57771,-95.18532
37.58076,-95.18549
29.99455,-90.39381
29.99459,-90.39613
29.99583,-90.40523
29.99594,-90.40752
29.99918,-90.40124
29.98548,-90.4474
29.98627,-90.44759
44.02268,-85.84526
44.02546,-85.85133
44.02612,-85.84608
44.02889,-85.85216
44.02955,-85.84692
47.97767,-94.73405
47.98356,-94.73384
47.97761,-94.7313
47.97914,-94.73741
47.9833,-94.73506
47.97227,-94.73434
47.9734,-94.72856
33.353,-108.55048
33.35368,-108.55461
33.35436,-108.55874
33.35628,-108.54967
33.35696,-108.55381
33.35764,-108.55795
33.35888,-108.54475
33.35955,-108.54887
33.36024,-108.553
33.36092,-108.55715
33.36161,-108.56132
33.36284,-108.54807
33.36352,-108.55221
33.3642,-108.55637
33.36489,-108.56052
33.36612,-108.54729
33.3668,-108.55144
33.36749,-108.55559
33.3694,-108.54652
33.37008,-108.55066
33.37337,-108.54987
48.84391,-99.84309
48.84429,-99.84349
48.85405,-99.79997
48.87557,-99.7386
48.85556,-99.80365
48.85569,-99.80411
40.30311,-79.87922
40.3247,-79.90239
40.39155,-79.85559
40.39407,-79.84993
40.39489,-79.8546
40.40586,-79.79716
40.39344,-79.85324
32.34701,-81.10788
32.34825,-81.09777
32.35402,-80.95846
32.42453,-80.92548
32.42514,-80.92033
45.43825,-97.57126
45.44105,-97.57838
45.44225,-97.57314
45.43287,-97.58284
45.43287,-97.5751
45.43406,-97.57858
45.4341,-97.57088
45.44062,-97.57864
28.93505,-97.86391
28.9311,-97.86028
28.93235,-97.85918
28.93242,-97.86543
28.93371,-97.86431
28.93651,-97.86349
28.93687,-97.86231
45.98441,-119.61695
45.98643,-119.61638
45.99228,-119.62138
45.99037,-119.62227
45.99221,-119.62926
45.99488,-119.61987
39.62712,-80.25745
39.62793,-80.2621
39.63045,-80.25649
39.63126,-80.26112
39.6258,-80.25585
45.83946,-92.60568
45.84042,-92.60044
45.84233,-92.58995
45.84282,-92.60693
45.84329,-92.5847
45.84378,-92.60168
45.84473,-92.59643
45.84665,-92.58594
45.84714,-92.60292
45.84761,-92.5807
45.8505,-92.60417
45.85096,-92.58193
45.85145,-92.59892
45.85432,-92.58318
45.85481,-92.60017
45.85576,-92.59492
45.85672,-92.58966
45.85767,-92.58442
30.58749,-83.77805
30.611,-83.94331
30.61159,-83.9393
30.61253,-83.95596
30.61429,-83.94395
30.61488,-83.93995
30.67954,-84.0092
30.68012,-84.0052
30.69761,-83.81596
30.6982,-83.81194
30.7011,-83.81539
30.70168,-83.81137
30.74332,-84.01362
30.74556,-84.11288
30.74662,-84.01427
30.74826,-84.11753
30.75155,-84.11819
30.76019,-84.08286
30.77916,-84.04923
30.78423,-84.03787
30.79724,-84.11051
30.11457,-93.29949
30.14619,-93.33548
44.99107,-96.25629
44.99491,-96.25793
44.99619,-96.25212
45.10302,-96.27664
45.10685,-96.27832
44.98641,-96.24586
44.98647,-96.25493
47.53313,-102.54443
47.52975,-102.55009
47.52992,-102.5454
47.53075,-102.55004
47.53095,-102.54538
47.535,-102.5513
47.53518,-102.54664
29.36793,-94.90781
29.36822,-94.91122
29.37391,-94.91751
29.3742,-94.92092
29.37569,-94.9381
29.36813,-94.90913
29.3715,-94.9198
29.37235,-94.92382
29.37562,-94.93445
29.37655,-94.93841
48.87804,-118.27882
48.88095,-118.30259
48.88134,-118.27998
48.88187,-118.29723
48.88225,-118.27475
48.88258,-118.30475
48.88352,-118.29937
30.58781,-84.21386
30.62766,-84.03713
30.69725,-83.79521
30.69785,-83.7912
30.70056,-83.79586
30.79273,-83.74638
30.79332,-83.74235
30.87566,-84.40542
30.89657,-84.40144
30.94406,-83.99073
30.94736,-83.99139
30.95065,-83.99204
31.09059,-83.91931
31.48292,-84.44285
31.48501,-84.406
31.4877,-84.45624
31.4883,-84.45222
31.49099,-84.45691
31.49099,-84.41135
31.49159,-84.45289
31.57143,-84.39457
31.57373,-84.56467
31.57412,-84.39926
31.57472,-84.39524
31.57741,-84.39994
31.64196,-84.37961
31.64525,-84.38028
31.93833,-84.44622
31.94102,-84.45094
31.94163,-84.4469
31.94372,-84.45567
31.94491,-84.44758
31.94551,-84.44353
31.9488,-84.44421
31.94941,-84.44015
31.95209,-84.44487
31.95269,-84.44083
31.95329,-84.43678
31.95539,-84.44554
31.95598,-84.44149
31.95658,-84.43744
31.95808,-84.45027
31.95867,-84.44622
31.95927,-84.44216
31.95987,-84.43812
30.4817,-91.1805
30.77036,-93.04966
30.77131,-93.04858
30.7716,-93.0442
30.77368,-93.05643
30.77491,-93.05095
30.77615,-93.04547
30.77946,-93.05225
30.78069,-93.04676
31.36241,-92.84638
31.36379,-92.85017
31.3643,-93.10423
31.36494,-92.84502
31.36641,-93.11635
31.36683,-92.8477
31.3676,-93.11098
31.36879,-93.1056
31.36935,-92.84636
31.3709,-93.11768
31.37209,-93.11231
31.37265,-92.85274
31.37328,-93.10696
31.37379,-92.84763
31.37446,-93.10157
31.3754,-93.11901
31.37659,-93.11362
31.37777,-93.10827
31.37895,-93.10293
31.38226,-93.1096
31.38344,-93.10426
31.38793,-93.10558
31.39242,-93.10693
31.39359,-93.10156
45.45673,-93.6572
45.46128,-93.65294
45.46151,-93.67113
45.46259,-93.66549
45.46367,-93.65988
45.46475,-93.65428
46.09841,-94.37978
46.10083,-94.40598
46.10422,-94.36957
46.10434,-94.40738
46.19328,-94.52177
29.70473,-95.24813
29.70766,-95.07063
29.71089,-95.07027
29.71922,-95.23206
29.7201,-95.23216
29.72577,-95.12254
29.73593,-95.16496
29.73849,-94.99979
29.73906,-95.00681
29.74364,-94.99923
29.74478,-95.01328
29.82657,-95.11932
29.82687,-95.12289
29.82772,-95.118
29.828,-95.1216
29.87495,-94.92758
29.8768,-94.82594
29.87893,-94.91307
29.7089,-95.06696
29.72482,-95.12335
29.74111,-94.999
29.74263,-95.00189
29.74512,-95.0133
29.7467,-95.0161
29.83376,-94.93449
29.83413,-94.93301
