latitude,longitude
45.06945,-83.404
45.07223,-83.40786
40.63221,-74.22449
30.86547,-83.11658
30.86655,-83.11285
33.0036,-79.87879
33.01506,-79.88206
33.01534,-79.88646
33.96244,-81.05131
34.0001,-78.30025
34.00038,-78.30388
34.91264,-80.69552
34.91578,-80.6944
35.06891,-78.82367
35.78435,-79.85674
25.85756,-80.34547
28.66834,-82.05111
28.67442,-82.05054
28.67476,-82.05572
28.99097,-81.06688
40.30429,-79.87466
40.30532,-79.87857
40.30559,-79.87379
40.30663,-79.87766
40.31325,-80.60781
40.63613,-74.21885
40.64176,-89.63996
40.64257,-89.64463
40.89202,-77.71228
41.32866,-89.08322
41.41354,-88.18652
41.57385,-92.52323
41.6188,-87.33083
41.62282,-87.35179
41.64077,-87.40697
41.64496,-88.0545
41.64837,-88.05337
41.66903,-87.45843
41.67202,-87.43523
41.67896,-87.43288
41.67947,-87.41605
41.68046,-87.42128
41.68145,-87.42649
41.68271,-87.41922
41.68372,-87.42442
41.68491,-87.42529
41.83268,-89.13654
41.95157,-88.14356
42.29006,-83.16338
42.29641,-83.17172
42.29702,-83.15498
42.30109,-83.15331
42.30514,-83.15161
42.47145,-93.04475
42.48183,-87.88338
42.72388,-83.26327
42.76987,-82.49883
42.7744,-82.47943
42.77565,-82.48472
42.82198,-85.99746
43.63769,-104.55852
43.70191,-88.38405
43.86454,-90.80724
43.93933,-88.98322
44.16877,-87.70325
44.30044,-88.1228
44.52496,-88.01077
44.53712,-92.9137
44.55112,-85.31473
44.76617,-93.03706
44.76687,-93.0424
44.76769,-93.04111
44.85175,-93.00321
45.00764,-93.77879
45.07016,-83.40604
45.07026,-83.40549
45.07393,-83.40437
45.07402,-83.40382
45.3157,-85.30095
45.34341,-92.98542
45.97376,-85.87611
46.51512,-84.39588
46.51852,-84.37493
46.51865,-84.39436
46.51974,-84.3809
46.73098,-92.07832
30.86897,-83.11233
32.18523,-84.11689
32.58689,-90.13953
33.00656,-79.87852
33.01567,-79.88723
33.01755,-79.88695
33.04668,-93.50953
33.23009,-87.51132
33.23112,-87.51366
33.23411,-87.51017
33.23812,-87.50897
33.25376,-94.07058
33.27637,-80.42885
33.43866,-88.5716
33.4409,-88.57225
33.44473,-88.58174
33.4469,-88.58241
33.48419,-86.93494
33.53439,-86.75782
33.54427,-86.80328
33.5836,-86.78129
33.6077,-93.792
33.61448,-90.52457
33.81652,-90.63467
33.82081,-90.63838
33.97394,-94.62115
33.99615,-94.58606
34.23967,-84.79707
34.30645,-97.49235
34.60844,-94.40182
34.63849,-87.08467
34.80258,-88.32523
35.04683,-90.16637
35.17127,-81.41725
35.64635,-89.93426
35.64982,-89.9333
35.72957,-88.811
35.89162,-89.77916
35.93395,-89.71196
35.93484,-89.71675
35.93743,-89.71099
35.93831,-89.71577
35.94091,-89.71001
35.94179,-89.7148
35.94526,-89.71383
36.35425,-76.81164
36.35632,-76.80839
36.80775,-88.5135
37.23499,-82.04034
37.58736,-91.77892
37.66162,-93.8226
37.79506,-96.87292
38.22001,-91.73546
38.24208,-104.60809
38.80876,-94.28499
38.88375,-90.13976
39.0772,-91.62726
39.65308,-104.70689
39.67678,-91.31382
40.05571,-92.98338
40.05878,-92.25183
41.26748,-105.60327
27.82175,-97.20939
27.89,-97.27435
28.06002,-97.4379
28.32215,-99.26835
28.35526,-98.56243
28.66786,-82.04848
28.66922,-82.05366
28.67382,-82.04651
28.67517,-82.05167
28.78731,-99.42777
29.57567,-98.03356
29.57647,-98.03088
29.57709,-98.03548
30.26717,-99.21115
30.26837,-99.2121
30.5371,-100.16579
30.54405,-100.26343
30.5445,-100.26744
31.04004,-102.22463
31.24294,-85.87202
31.25642,-101.25716
31.31164,-101.72695
31.36211,-101.78192
31.4984,-103.5332
31.70762,-97.59212
31.79603,-103.92977
31.80948,-103.90384
31.8473,-101.77133
31.84904,-103.94869
31.84909,-96.39501
31.86025,-101.76437
31.92418,-104.02224
31.93161,-101.79697
31.93322,-101.79524
31.9423,-94.40073
32.02105,-101.99845
32.0256,-101.99784
32.07113,-102.58868
32.07935,-103.3108
32.24828,-97.55392
32.3145,-90.13497
32.40771,-101.28331
32.40799,-101.28406
32.4302,-94.68393
32.43941,-102.07616
32.45462,-97.04356
32.45724,-97.03606
32.45751,-97.03826
32.45784,-97.04073
32.45813,-97.04291
32.97548,-102.74441
45.94585,-111.47766
46.10633,-112.87558
46.32939,-111.61773
47.46846,-122.05078
47.4726,-122.05021
47.50515,-103.03433
47.51129,-123.29677
47.80333,-116.86594
48.88095,-117.98344
48.8845,-117.98249
48.8863,-122.73557
48.88874,-117.9873
48.88943,-117.99303
48.89077,-117.99252
48.89297,-117.99202
48.89431,-117.99152
48.89499,-117.99731
48.89578,-117.98507
48.8965,-117.99103
48.89713,-117.98446
48.89721,-117.99689
48.89784,-117.99049
48.89855,-117.99645
48.9021,-117.99556
48.90416,-117.98201
48.90768,-117.98089
48.90901,-117.93043
48.90979,-117.93701
48.91122,-117.97987
48.91256,-117.92956
38.2387,-104.60426
38.23999,-104.60891
38.37363,-109.02533
38.37501,-109.03127
39.55513,-119.52102
39.62001,-119.26112
40.2036,-105.23796
40.76965,-122.11662
40.77032,-122.1226
40.77222,-122.12205
40.77795,-122.13912
40.77926,-122.13292
40.77991,-122.13874
40.78112,-122.13247
40.78175,-122.13831
40.78305,-122.1321
40.78372,-122.13802
40.78491,-122.13161
40.78556,-122.13757
40.79525,-122.15533
40.79907,-122.15475
40.79976,-122.16114
40.8194,-122.0565
40.82864,-122.03504
40.82929,-122.04082
40.82998,-122.047
40.83142,-122.06001
40.83445,-122.05244
40.83821,-122.05134
40.83895,-122.05799
40.84269,-122.05683
40.84645,-122.05573
40.84722,-122.0626
40.8479,-122.06875
40.85101,-122.06184
40.8548,-122.06101
40.87953,-122.07395
40.88203,-122.07269
41.25869,-123.43728
41.25925,-123.35711
41.25964,-123.36118
41.26009,-123.3658
41.26059,-123.37102
41.26118,-123.37717
41.26375,-123.36089
41.26418,-123.36537
41.26467,-123.3704
41.26526,-123.37659
41.26711,-123.35294
41.26749,-123.35689
41.26788,-123.36088
41.2683,-123.36523
41.26935,-123.37605
41.26956,-105.60634
41.27044,-123.38742
41.27124,-123.35303
41.27163,-123.357
41.27203,-123.36105
41.27289,-123.36991
41.27348,-123.37598
41.27406,-123.38193
41.27452,-123.38673
41.27499,-123.34905
41.2754,-123.3533
41.27662,-123.36573
41.27687,-123.326
41.27744,-123.33174
41.27765,-123.37632
41.27817,-123.38168
41.27856,-123.34327
41.27909,-123.34868
41.27956,-123.35352
41.28034,-123.31927
41.28065,-123.40707
41.28082,-123.32413
41.28109,-123.41163
41.28138,-123.32987
41.28153,-123.41614
41.28195,-123.3357
41.28253,-123.34159
41.28308,-123.34722
41.28359,-123.35242
41.28479,-123.40697
41.28481,-123.32272
41.28521,-123.41141
41.28537,-123.32835
41.28593,-123.33413
41.2865,-123.33988
41.28707,-123.34569
41.28761,-123.35118
41.28888,-123.32208
41.28944,-123.32778
41.29001,-123.33357
41.29057,-123.33931
41.29113,-123.34501
41.30741,-121.4902
41.61654,-108.63415
41.77999,-107.10765
42.3716,-123.28069
42.3721,-123.28591
42.37263,-123.29139
42.37456,-113.55555
42.37556,-123.27844
42.37608,-123.28391
42.37861,-123.26691
42.37908,-123.27176
42.37956,-123.27675
42.38009,-123.28223
42.38275,-123.26661
42.38322,-123.27145
42.3852,-123.27027
42.63668,-117.81661
42.64002,-117.81577
42.6407,-117.82054
42.64267,-117.8101
42.64404,-117.81969
42.64805,-117.82362
42.64874,-117.82841
42.65207,-117.82755
42.68542,-111.58731
42.68653,-111.59286
42.68897,-111.58602
43.63684,-104.55907
44.06215,-122.98113
44.06514,-122.98151
44.54189,-117.42101
44.60375,-120.76405
44.6044,-120.77008
44.60506,-120.77612
44.60573,-120.78237
44.60643,-120.7889
44.6075,-120.76326
44.60815,-120.76932
44.60881,-120.77537
44.60948,-120.78157
44.61018,-120.78804
44.6109,-120.79476
44.61124,-120.76244
44.6119,-120.76854
44.61256,-120.77459
44.61323,-120.78078
44.61393,-120.78721
44.61464,-120.79386
44.61498,-120.76158
44.61564,-120.76766
44.61631,-120.77376
44.61697,-120.77995
44.61767,-120.78638
44.61838,-120.79298
44.62004,-120.77287
44.62212,-120.79199
44.62282,-120.79854
44.62353,-120.80508
44.62725,-120.804
44.63652,-120.96236
44.66063,-120.97079
44.66233,-120.9506
44.66442,-120.97009
44.66821,-120.96937
44.69449,-120.89117
45.08479,-114.83567
45.08557,-114.84042
45.08763,-114.81271
45.08823,-114.83775
45.08899,-114.8425
45.08975,-114.84725
45.09051,-114.85202
45.09087,-114.81158
45.09224,-114.84141
45.093,-114.84618
45.09377,-114.85095
45.09626,-114.84509
45.09703,-114.84988
45.09951,-114.844
45.10028,-114.84881
45.10122,-114.83331
45.102,-114.83813
45.10243,-114.77709
45.10321,-114.78191
45.104,-114.78677
45.10463,-114.81191
45.10541,-114.81671
45.10619,-114.82153
45.10727,-114.78571
45.10776,-114.83125
45.10791,-114.81086
45.10868,-114.8157
45.10947,-114.82052
45.10961,-114.80019
45.11039,-114.80502
45.11118,-114.80985
45.11183,-114.8351
45.11196,-114.81469
45.11289,-114.79919
45.11366,-114.80396
45.11432,-114.82922
45.11445,-114.80882
45.1151,-114.83408
45.11523,-114.81366
45.11539,-114.79337
45.11617,-114.79817
45.11694,-114.80296
45.11772,-114.80779
45.1185,-114.81264
45.11866,-114.79238
45.12099,-114.80675
45.12178,-114.81161
45.23078,-123.16289
45.23127,-123.16839
45.26195,-112.60037
45.45197,-114.97887
45.45254,-115.00414
45.45273,-114.98372
45.45332,-115.009
45.45409,-115.01384
45.45523,-114.97782
45.45599,-114.98267
45.45658,-115.00794
45.45736,-115.01279
45.45907,-115.00205
45.45985,-115.0069
45.46001,-114.98644
45.46311,-115.00585
45.46389,-115.01071
45.46638,-115.00481
45.47291,-115.00272
45.47618,-115.00167
45.47695,-115.00653
45.48021,-115.00549
45.48098,-115.01033
45.48424,-115.00927
45.4875,-115.00822
45.48827,-115.01306
45.48904,-115.01791
45.4898,-115.02277
45.49058,-115.02761
45.49076,-115.00716
45.49153,-115.01201
45.4923,-115.01686
45.49307,-115.02172
45.49384,-115.02656
45.49634,-115.02068
45.49708,-115.02547
45.4996,-115.01961
45.50035,-115.02441
45.50286,-115.01857
45.50362,-115.02336
45.50536,-115.01266
45.50613,-115.01752
45.63089,-122.78243
45.64626,-120.21421
46.43071,-116.97461
46.9748,-122.28931
47.93541,-103.11743
48.17152,-104.05738
31.7963,-103.92834
32.85812,-117.02745
33.41639,-110.86095
33.42073,-110.86056
33.42086,-110.8596
33.85754,-110.92802
33.85854,-110.9325
33.86529,-110.92068
33.8664,-110.92565
33.86803,-110.92378
34.03579,-118.10688
34.11491,-117.925
34.15215,-118.19351
34.15545,-118.19276
34.35487,-116.85155
35.12105,-118.36812
35.5181,-113.31537
36.23058,-112.03345
36.23228,-112.12914
36.23449,-112.13007
36.26141,-112.06007
36.26234,-112.06446
36.26277,-112.08624
36.26412,-112.07287
36.26499,-112.07697
36.26625,-112.06314
36.2667,-112.08507
36.26715,-112.06741
36.26892,-112.07581
36.2698,-112.07993
36.27015,-112.06181
36.27065,-112.08392
36.27106,-112.06611
36.27197,-112.07038
36.27286,-112.07461
36.27373,-112.07875
37.02042,-120.43566
37.88328,-121.18453
38.31553,-121.83574
63.21143,-143.14592
63.34307,-141.83995
63.34366,-141.84761
63.34428,-141.85567
63.34835,-141.85446
63.34897,-141.86263
63.35243,-141.85333
63.35649,-141.85204
63.35709,-141.85992
63.3577,-141.86784
63.36054,-141.8506
63.36114,-141.85843
63.36175,-141.86633
47.46811,-122.04933
47.50953,-123.29163
47.5108,-123.29561
48.88756,-122.73239
48.91265,-117.93641
41.25896,-123.36432
41.26112,-123.37061
41.26278,-123.37546
41.26315,-123.35382
41.2673,-123.36597
41.27092,-123.37655
41.27481,-123.3652
41.27489,-123.30286
41.27717,-123.32657
41.27918,-123.33245
41.2819,-123.3231
