latitude,longitude
40.77032,-122.1226
40.77222,-122.12205
40.77795,-122.13912
40.77926,-122.13292
40.77991,-122.13874
40.78112,-122.13247
40.78175,-122.13831
40.78305,-122.1321
40.78372,-122.13802
40.78491,-122.13161
40.78556,-122.13757
40.82998,-122.047
40.83142,-122.06001
40.83445,-122.05244
40.83821,-122.05134
40.83895,-122.05799
40.84269,-122.05683
40.84645,-122.05573
40.84722,-122.0626
41.25925,-123.35711
41.25964,-123.36118
41.26009,-123.3658
41.26059,-123.37102
41.26118,-123.37717
41.26375,-123.36089
41.26418,-123.36537
41.26467,-123.3704
41.26526,-123.37659
41.26711,-123.35294
41.26749,-123.35689
41.26788,-123.36088
41.2683,-123.36523
41.26935,-123.37605
41.27044,-123.38742
41.27124,-123.35303
41.27163,-123.357
41.27203,-123.36105
41.27289,-123.36991
41.27348,-123.37598
41.27406,-123.38193
41.27452,-123.38673
41.27499,-123.34905
41.2754,-123.3533
41.27662,-123.36573
41.27687,-123.326
41.27744,-123.33174
41.27765,-123.37632
41.27817,-123.38168
41.27856,-123.34327
41.27909,-123.34868
41.27956,-123.35352
41.28034,-123.31927
41.28082,-123.32413
41.28138,-123.32987
41.28195,-123.3357
41.28253,-123.34159
41.28308,-123.34722
41.28359,-123.35242
41.28481,-123.32272
41.28537,-123.32835
41.28593,-123.33413
41.2865,-123.33988
41.28707,-123.34569
41.28761,-123.35118
41.28888,-123.32208
41.28944,-123.32778
41.29001,-123.33357
41.29057,-123.33931
41.29113,-123.34501
41.25896,-123.36432
41.26112,-123.37061
41.26278,-123.37546
41.26315,-123.35382
41.2673,-123.36597
41.27092,-123.37655
41.27481,-123.3652
41.27717,-123.32657
41.27918,-123.33245
41.2819,-123.3231
41.28276,-123.32018
41.28305,-123.3438
41.28395,-123.32901
41.28492,-123.3265
41.28589,-123.33463
41.2868,-123.33202
41.28775,-123.34
41.28855,-123.33717
41.28898,-123.32106
63.34366,-141.84761
63.34428,-141.85567
63.34835,-141.85446
63.34897,-141.86263
63.35243,-141.85333
63.35649,-141.85204
63.35709,-141.85992
63.3577,-141.86784
63.36054,-141.8506
63.36114,-141.85843
36.26141,-112.06007
36.26234,-112.06446
36.26412,-112.07287
36.26499,-112.07697
36.26625,-112.06314
36.26715,-112.06741
36.26892,-112.07581
36.27015,-112.06181
36.27106,-112.06611
36.27197,-112.07038
36.27286,-112.07461
36.26277,-112.08624
36.2667,-112.08507
36.2698,-112.07993
36.27065,-112.08392
36.27373,-112.07875
28.66834,-82.05111
28.67442,-82.05054
28.67476,-82.05572
28.66786,-82.04848
28.66922,-82.05366
28.67382,-82.04651
28.67517,-82.05167
28.66977,-82.05061
28.67109,-82.05169
28.67142,-82.04707
45.08479,-114.83567
45.08557,-114.84042
45.08823,-114.83775
45.08899,-114.8425
45.08975,-114.84725
45.09051,-114.85202
45.09224,-114.84141
45.093,-114.84618
45.09377,-114.85095
45.09626,-114.84509
45.09703,-114.84988
45.09951,-114.844
45.10122,-114.83331
45.102,-114.83813
45.10028,-114.84881
45.10776,-114.83125
45.11183,-114.8351
45.11396,-114.83396
45.10243,-114.77709
45.10321,-114.78191
45.104,-114.78677
45.10463,-114.81191
45.10541,-114.81671
45.10619,-114.82153
45.10727,-114.78571
45.10791,-114.81086
45.10868,-114.8157
45.10947,-114.82052
45.10961,-114.80019
45.11039,-114.80502
45.11118,-114.80985
45.11196,-114.81469
45.11289,-114.79919
45.11366,-114.80396
45.11432,-114.82922
45.11445,-114.80882
45.1151,-114.83408
45.11523,-114.81366
45.11539,-114.79337
45.11617,-114.79817
45.11694,-114.80296
45.11772,-114.80779
45.1185,-114.81264
45.11866,-114.79238
45.12099,-114.80675
45.12178,-114.81161
45.45254,-115.00414
45.45273,-114.98372
45.45332,-115.009
45.45409,-115.01384
45.45599,-114.98267
45.45658,-115.00794
45.45736,-115.01279
45.45907,-115.00205
45.45985,-115.0069
45.46001,-114.98644
45.46311,-115.00585
45.46389,-115.01071
45.46638,-115.00481
45.47291,-115.00272
45.47618,-115.00167
45.47695,-115.00653
45.48021,-115.00549
45.48098,-115.01033
45.48424,-115.00927
45.4875,-115.00822
45.48827,-115.01306
45.48904,-115.01791
45.4898,-115.02277
45.49058,-115.02761
45.49076,-115.00716
45.49153,-115.01201
45.4923,-115.01686
45.49307,-115.02172
45.49384,-115.02656
45.49634,-115.02068
45.49708,-115.02547
45.4996,-115.01961
45.50035,-115.02441
45.50286,-115.01857
45.50362,-115.02336
45.50536,-115.01266
45.50613,-115.01752
45.11209,-114.79769
45.11424,-114.81191
45.11596,-114.80638
45.11879,-114.79729
45.12053,-114.81284
45.12233,-114.80705
45.45186,-115.00836
45.4543,-115.01384
45.45562,-115.00966
45.48762,-115.01253
45.48897,-115.00824
45.48917,-115.02858
45.49035,-115.02481
45.4916,-115.02084
45.49282,-115.01693
45.49632,-115.02679
45.49775,-115.02219
45.50341,-115.02514
45.50498,-115.02011
45.50662,-115.01487
42.3716,-123.28069
42.3721,-123.28591
42.37556,-123.27844
42.37608,-123.28391
42.37861,-123.26691
42.37908,-123.27176
42.37956,-123.27675
42.38009,-123.28223
42.38275,-123.26661
42.38322,-123.27145
42.3852,-123.27027
42.37571,-123.27464
42.63668,-117.81661
42.64002,-117.81577
42.6407,-117.82054
42.64267,-117.8101
42.64404,-117.81969
42.64805,-117.82362
42.64874,-117.82841
42.65207,-117.82755
42.63396,-117.81124
42.63433,-117.82067
42.63718,-117.81271
42.63759,-117.82382
42.64045,-117.81572
42.6408,-117.82519
42.64371,-117.81708
42.64405,-117.8284
42.64696,-117.82014
42.64727,-117.82971
42.65026,-117.82137
44.60375,-120.76405
44.6044,-120.77008
44.60506,-120.77612
44.60573,-120.78237
44.60643,-120.7889
44.6075,-120.76326
44.60815,-120.76932
44.60881,-120.77537
44.60948,-120.78157
44.61018,-120.78804
44.6109,-120.79476
44.61124,-120.76244
44.6119,-120.76854
44.61256,-120.77459
44.61323,-120.78078
44.61393,-120.78721
44.61464,-120.79386
44.61498,-120.76158
44.61564,-120.76766
44.61631,-120.77376
44.61697,-120.77995
44.61767,-120.78638
44.61838,-120.79298
44.62004,-120.77287
44.62212,-120.79199
44.62282,-120.79854
44.62353,-120.80508
44.62725,-120.804
44.60291,-120.77568
